,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 宜蘭縣有人經常居住住宅之居住人數,,Table 44 Yilan County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 宜蘭縣有人經常居住住宅之居住人數,表４４,宜蘭縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Yilan County Number of Persons of Occupied Housing Units,Table 44,Yilan County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,宜蘭縣,122779,28541,32668,24572,,18420,9042,9536,3.3,Yilan County,,,
,宜蘭市,29298,6710,8549,5781,,4664,1739,1855,3,Yilan City,,,
,羅東鎮,18380,4835,4984,3800,,2593,1139,1029,3.2,Luodong Township,,,
,蘇澳鎮,9539,2369,2744,1884,,1244,560,738,3.2,Su'ao Township,,,
,頭城鎮,7531,1667,1791,1438,,1192,672,771,3.2,Toucheng Township,,,
,礁溪鄉,9092,2552,2058,1747,,1264,722,749,3.4,Jiaoxi Township,,,
,壯圍鄉,6435,1156,1541,1392,,1092,567,687,3.4,Zhuangwei Township,,,
,員山鄉,8900,1852,2348,1794,,1348,780,778,3.3,Yuanshan Township,,,
,冬山鄉,14112,2778,3543,2968,,2270,1255,1298,3.5,Dongshan Township,,,
,五結鄉,11863,2714,3134,2443,,1790,955,827,3.2,Wujie Township,,,
,三星鄉,5376,1355,1464,977,,704,461,415,3.5,Sanxing Township,,,
,大同鄉,1193,342,258,193,,135,94,171,3.3,Datong Township,,,
,南澳鄉,1060,211,254,155,,124,98,218,4.0999999999999996,Nan'ao Township,,,
