,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 宜蘭縣有人經常居住住宅之房廳數,,Table 45 Yilan County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 宜蘭縣有人經常居住住宅之房廳數,表４５,宜蘭縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Yilan County Number of Rooms of Occupied Housing Units,Table 45,Yilan County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,宜蘭縣,122779,770,7610,11707,,33458,32619,36615,4.8,Yilan County,,,
,宜蘭市,29298,105,1008,2325,,8559,8795,8506,4.9000000000000004,Yilan City,,,
,羅東鎮,18380,254,1391,2478,,5527,4920,3810,4.5,Luodong Township,,,
,蘇澳鎮,9539,70,701,1044,,2477,2123,3124,4.8,Su'ao Township,,,
,頭城鎮,7531,29,452,684,,2119,1930,2317,4.9000000000000004,Toucheng Township,,,
,礁溪鄉,9092,103,961,1148,,2429,2102,2349,4.5999999999999996,Jiaoxi Township,,,
,壯圍鄉,6435,11,332,460,,1427,1815,2390,5.2,Zhuangwei Township,,,
,員山鄉,8900,49,499,531,,1916,2310,3595,5.2,Yuanshan Township,,,
,冬山鄉,14112,61,1073,1151,,3484,3887,4456,4.9000000000000004,Dongshan Township,,,
,五結鄉,11863,22,498,936,,3485,3351,3571,4.9000000000000004,Wujie Township,,,
,三星鄉,5376,27,386,533,,1236,1086,2108,5.0999999999999996,Sanxing Township,,,
,大同鄉,1193,26,192,238,,406,137,194,4,Datong Township,,,
,南澳鄉,1060,13,117,179,,393,163,195,4.2,Nan'ao Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 宜蘭縣有人經常居住住宅之房廳數（續）,,Table 45 Yilan County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 宜蘭縣有人經常居住住宅之房廳數（續）,表４５,宜蘭縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Yilan County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Yilan County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,122779,770,7610,11707,,33458,32619,36615,4.8,Grand Total,,,
,未滿６０平方公尺,8610,616,3925,1553,,2225,268,23,2.7,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,37028,83,2253,5576,,14499,9335,5282,4.4000000000000004,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,44614,58,1035,2979,,10825,14882,14835,5,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,29490,13,397,1580,,5774,7646,14080,5.5,180-Under 300 Square Meters,,,
,３００平方公尺以上,3037,-,-,19,,135,488,2395,7.1,300 Square Meters and More,,,
