,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 屏東縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 屏東縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,屏東縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Pingtung County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Pingtung County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,屏東縣,356545,234925,73066,48554,,,
,Pingtung County,,,,,,,
,屏東市,92189,67440,9699,15050,,,
,Pingtung City,,,,,,,
,潮州鎮,27182,16459,6783,3940,,,
,Chaozhou Township,,,,,,,
,東港鎮,20573,14296,2854,3423,,,
,Donggang Township,,,,,,,
,恆春鎮,12240,11732,311,197,,,
,Hengchun Township,,,,,,,
,萬丹鄉,25010,15147,5624,4239,,,
,Wandan Township,,,,,,,
,長治鄉,13438,6460,5341,1637,,,
,Changzhi Township,,,,,,,
,麟洛鄉,4277,1452,2158,667,,,
,Linluo Township,,,,,,,
,九如鄉,10084,5873,2923,1288,,,
,Jiuru Township,,,,,,,
,里港鄉,10581,7199,1618,1764,,,
,Ligang Township,,,,,,,
,鹽埔鄉,12643,8429,3188,1026,,,
,Yanpu Township,,,,,,,
,高樹鄉,9304,7646,1040,618,,,
,Gaoshu Township,,,,,,,
,萬巒鄉,8955,5833,2259,863,,,
,Wanluan Township,,,,,,,
,內埔鄉,26182,17000,6762,2420,,,
,Neipu Township,,,,,,,
,竹田鄉,7758,3656,3071,1031,,,
,Zhutian Township,,,,,,,
,新埤鄉,3793,2357,996,440,,,
,Xinpi Township,,,,,,,
,枋寮鄉,10220,8704,961,555,,,
,Fangliao Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 屏東縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 屏東縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,屏東縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Pingtung County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Pingtung County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,新園鄉,15119,7226,4029,3864,,,
,Xinyuan Township,,,,,,,
,崁頂鄉,5233,2301,1970,962,,,
,Kanding Township,,,,,,,
,林邊鄉,6922,4142,2033,747,,,
,Linbian Township,,,,,,,
,南州鄉,3608,1962,1060,586,,,
,Nanzhou Township,,,,,,,
,佳冬鄉,7985,5293,2123,569,,,
,Jiadong Township,,,,,,,
,琉球鄉,3360,3232,83,45,,,
,Liouciou Township,,,,,,,
,車城鄉,2968,2142,794,32,,,
,Checheng Township,,,,,,,
,滿州鄉,2129,1599,494,36,,,
,Manzhou Township,,,,,,,
,枋山鄉,1822,1514,261,47,,,
,Fangshan Township,,,,,,,
,三地門鄉,2331,869,1058,404,,,
,Sandimen Township,,,,,,,
,霧臺鄉,638,338,224,76,,,
,Wutai Township,,,,,,,
,瑪家鄉,2559,1085,1008,466,,,
,Majia Township,,,,,,,
,泰武鄉,1459,415,576,468,,,
,Taiwu Township,,,,,,,
,來義鄉,2236,803,731,702,,,
,Laiyi Township,,,,,,,
,春日鄉,1519,686,509,324,,,
,Chunri Township,,,,,,,
,獅子鄉,1195,875,262,58,,,
,Shizi Township,,,,,,,
,牡丹鄉,1033,760,263,10,,,
,Mudan Township,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 屏東縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,表１４ 屏東縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,表１４,屏東縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）
,Table 14 Pingtung County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Pingtung County,0
,Civilian Resident Population Aged 15 Years and Over(Cont.2),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,屏東縣,198319,128282,37363,32674,,,
,Pingtung County,,,,,,,
,屏東市,47906,33180,5227,9499,,,
,Pingtung City,,,,,,,
,潮州鎮,14476,8425,3365,2686,,,
,Chaozhou Township,,,,,,,
,東港鎮,11700,7706,1489,2505,,,
,Donggang Township,,,,,,,
,恆春鎮,6551,6246,182,123,,,
,Hengchun Township,,,,,,,
,萬丹鄉,14140,8515,2926,2699,,,
,Wandan Township,,,,,,,
