,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 屏東縣５歲以上常住人口遷徙情形,,Table 20 Pingtung County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 屏東縣５歲以上常住人口遷徙情形,表２０,屏東縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Pingtung County Migration Status of the Resident Population,Table 20,Pingtung County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,屏東縣,711791,596314,43995,,30306,38339,2837,Pingtung County
,屏東市,194194,153160,17357,,7532,15439,706,Pingtung City
,潮州鎮,52216,42814,4284,,3173,1831,114,Chaozhou Township
,東港鎮,39646,34257,2995,,1525,803,66,Donggang Township
,恆春鎮,24656,19993,2902,,486,1097,178,Hengchun Township
,萬丹鄉,44159,40828,1496,,1353,413,69,Wandan Township
,長治鄉,25777,22306,1309,,1648,513,1,Changzhi Township
,麟洛鄉,9024,8060,257,,560,129,18,Linluo Township
,九如鄉,18381,15800,1092,,1051,394,44,Jiuru Township
,里港鄉,18829,16906,899,,445,546,33,Ligang Township
,鹽埔鄉,22690,19502,701,,1285,1118,84,Yanpu Township
,高樹鄉,16513,15138,536,,444,372,23,Gaoshu Township
,萬巒鄉,18301,16173,428,,832,824,44,Wanluan Township
,內埔鄉,58834,44921,2058,,1925,8933,997,Neipu Township
,竹田鄉,18011,14034,598,,2187,1109,83,Zhutian Township
,新埤鄉,7461,6660,176,,419,186,20,Xinpi Township
,枋寮鄉,19614,17402,1283,,482,368,79,Fangliao Township
,新園鄉,28724,26427,870,,915,398,114,Xinyuan Township
,崁頂鄉,10111,9023,349,,475,247,17,Kanding Township
,林邊鄉,12985,11053,949,,625,336,22,Linbian Township
,南州鄉,8605,7032,254,,552,761,6,Nanzhou Township
