,,民國109年,,,,,2020,,,,,,
,表３１ 屏東縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Pingtung County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 屏東縣住戶數、常住人口數及平均每戶人口數,表３１,屏東縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Pingtung County Number of Households, Resident Population and Average",Table 31,Pingtung County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,屏東縣,258661,755047,2.9,256720,,709717,2.8,1941,45330,23.4,Pingtung County,
,屏東市,69968,205388,2.9,69393,,188347,2.7,575,17041,29.6,Pingtung City,
,潮州鎮,19464,55109,2.8,19421,,54040,2.8,43,1069,24.9,Chaozhou Township,
,東港鎮,14501,42325,2.9,14398,,41393,2.9,103,932,9,Donggang Township,
,恆春鎮,9813,26466,2.7,9722,,25505,2.6,91,961,10.6,Hengchun Township,
,萬丹鄉,14386,46732,3.2,14289,,44794,3.1,97,1938,20,Wandan Township,
,長治鄉,9146,27570,3,9101,,26482,2.9,45,1088,24.2,Changzhi Township,
,麟洛鄉,3344,9487,2.8,3334,,9286,2.8,10,201,20.100000000000001,Linluo Township,
,九如鄉,6306,19576,3.1,6270,,18894,3,36,682,18.899999999999999,Jiuru Township,
,里港鄉,6584,20250,3.1,6561,,19882,3,23,368,16,Ligang Township,
,鹽埔鄉,7372,24017,3.3,7325,,21804,3,47,2213,47.1,Yanpu Township,
,高樹鄉,6628,17271,2.6,6585,,16816,2.6,43,455,10.6,Gaoshu Township,
,萬巒鄉,6081,19316,3.2,6060,,16985,2.8,21,2331,111,Wanluan Township,
,內埔鄉,22408,61532,2.7,21924,,53334,2.4,484,8198,16.899999999999999,Neipu Township,
,竹田鄉,5242,18973,3.6,5212,,15702,3,30,3271,109,Zhutian Township,
,新埤鄉,2876,7958,2.8,2867,,7901,2.8,9,57,6.3,Xinpi Township,
,枋寮鄉,7558,21292,2.8,7514,,20509,2.7,44,783,17.8,Fangliao Township,
,新園鄉,10355,30983,3,10297,,30128,2.9,58,855,14.7,Xinyuan Township,
,崁頂鄉,3624,10789,3,3614,,10642,2.9,10,147,14.7,Kanding Township,
,林邊鄉,4992,13730,2.8,4978,,13647,2.7,14,83,5.9,Linbian Township,
,南州鄉,2980,9167,3.1,2963,,8381,2.8,17,786,46.2,Nanzhou Township,
,佳冬鄉,6059,15503,2.6,6053,,15440,2.6,6,63,10.5,Jiadong Township,
,琉球鄉,2989,7314,2.4,2935,,6822,2.2999999999999998,54,492,9.1,Liouciou Township,
,車城鄉,2611,6034,2.2999999999999998,2587,,5789,2.2000000000000002,24,245,10.199999999999999,Checheng Township,
,滿州鄉,1932,4361,2.2999999999999998,1917,,4314,2.2999999999999998,15,47,3.1,Manzhou Township,
,枋山鄉,1358,4069,3,1341,,3307,2.5,17,762,44.8,Fangshan Township,
,三地門鄉,1934,5472,2.8,1932,,5468,2.8,2,4,2,Sandimen Township,
,霧臺鄉,585,1461,2.5,584,,1459,2.5,1,2,2,Wutai Township,
,瑪家鄉,1920,5571,2.9,1919,,5568,2.9,1,3,3,Majia Township,
,泰武鄉,872,3427,3.9,871,,3402,3.9,1,25,25,Taiwu Township,
,來義鄉,1621,5203,3.2,1620,,5199,3.2,1,4,4,Laiyi Township,
,春日鄉,1003,3484,3.5,998,,3348,3.4,5,136,27.2,Chunri Township,
,獅子鄉,980,2588,2.6,974,,2539,2.6,6,49,8.1999999999999993,Shizi Township,
,牡丹鄉,1169,2629,2.2000000000000002,1161,,2590,2.2000000000000002,8,39,4.9000000000000004,Mudan Township,
