,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 屏東縣普通住戶之戶內人口數,,Table 32 Pingtung County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 屏東縣普通住戶之戶內人口數,表３２,屏東縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Pingtung County Number of Persons of Ordinary Households,Table 32,Pingtung County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,屏東縣,256720,71603,67410,49286,,35045,17091,16285,2.8,Pingtung County
,屏東市,69393,18108,19298,15154,,10072,3689,3072,2.7,Pingtung City
,潮州鎮,19421,5526,5084,3476,,2786,1284,1265,2.8,Chaozhou Township
,東港鎮,14398,3478,3615,2999,,2323,1112,871,2.9,Donggang Township
,恆春鎮,9722,3496,2352,1542,,1033,535,764,2.6,Hengchun Township
,萬丹鄉,14289,2858,3484,2789,,2309,1319,1530,3.1,Wandan Township
,長治鄉,9101,2033,2497,1830,,1443,666,632,2.9,Changzhi Township
,麟洛鄉,3334,833,960,636,,493,212,200,2.8,Linluo Township
,九如鄉,6270,1494,1550,1190,,927,505,604,3,Jiuru Township
,里港鄉,6561,1448,1630,1273,,1078,563,569,3,Ligang Township
,鹽埔鄉,7325,1605,1988,1432,,1073,650,577,3,Yanpu Township
,高樹鄉,6585,2087,2019,990,,774,383,332,2.6,Gaoshu Township
,萬巒鄉,6060,1696,1500,1134,,794,469,467,2.8,Wanluan Township
,內埔鄉,21924,9058,4521,3616,,2191,1344,1194,2.4,Neipu Township
,竹田鄉,5212,1189,1371,991,,722,507,432,3,Zhutian Township
,新埤鄉,2867,814,818,520,,334,172,209,2.8,Xinpi Township
,枋寮鄉,7514,2023,2142,1422,,843,590,494,2.7,Fangliao Township
,新園鄉,10297,2547,2416,1980,,1784,899,671,2.9,Xinyuan Township
,崁頂鄉,3614,841,982,701,,495,276,319,2.9,Kanding Township
,林邊鄉,4978,1293,1470,975,,636,254,350,2.7,Linbian Township
,南州鄉,2963,752,856,536,,357,242,220,2.8,Nanzhou Township
,佳冬鄉,6053,1912,1869,936,,629,372,335,2.6,Jiadong Township
,琉球鄉,2935,1040,929,525,,259,97,85,2.2999999999999998,Liouciou Township
,車城鄉,2587,1002,777,433,,200,99,76,2.2000000000000002,Checheng Township
,滿州鄉,1917,815,527,248,,173,71,83,2.2999999999999998,Manzhou Township
,枋山鄉,1341,543,362,184,,145,59,48,2.5,Fangshan Township
,三地門鄉,1932,587,469,350,,212,159,155,2.8,Sandimen Township
,霧臺鄉,584,200,171,113,,56,22,22,2.5,Wutai Township
,瑪家鄉,1919,546,434,374,,256,147,162,2.9,Majia Township
,泰武鄉,871,172,153,149,,142,87,168,3.9,Taiwu Township
,來義鄉,1620,443,380,304,,221,113,159,3.2,Laiyi Township
,春日鄉,998,262,221,184,,113,101,117,3.4,Chunri Township
,獅子鄉,974,358,248,159,,98,52,59,2.6,Shizi Township
,牡丹鄉,1161,544,317,141,,74,41,44,2.2000000000000002,Mudan Township
