,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 屏東縣普通住戶之家戶型態,,Table 33 Pingtung County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 屏東縣普通住戶之家戶型態,表３３,屏東縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Pingtung County Family Household Type of Ordinary Households,Table 33,Pingtung County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,屏東縣,256720,114601,38402,57875,18324,51027,,33008,13331,4688,71603,19489,17089,2400,Pingtung County
,屏東市,69393,36134,10869,19482,5783,10866,,7170,2787,909,18108,4285,3566,719,Pingtung City
,潮州鎮,19421,8962,2846,4592,1524,3490,,2303,889,298,5526,1443,1223,220,Chaozhou Township
,東港鎮,14398,7026,2204,3756,1066,2874,,1878,699,297,3478,1020,943,77,Donggang Township
,恆春鎮,9722,3699,1243,1784,672,1716,,1187,370,159,3496,811,688,123,Hengchun Township
,萬丹鄉,14289,6415,2155,3316,944,3783,,2559,848,376,2858,1233,1167,66,Wandan Township
,長治鄉,9101,4315,1429,2316,570,2004,,1256,590,158,2033,749,621,128,Changzhi Township
,麟洛鄉,3334,1549,583,788,178,701,,448,202,51,833,251,234,17,Linluo Township
,九如鄉,6270,2751,848,1444,459,1497,,1079,330,88,1494,528,489,39,Jiuru Township
,里港鄉,6561,2900,843,1666,391,1632,,1121,391,120,1448,581,497,84,Ligang Township
,鹽埔鄉,7325,3202,893,1762,547,1863,,1153,566,144,1605,655,595,60,Yanpu Township
,高樹鄉,6585,2578,1322,887,369,1295,,826,347,122,2087,625,512,113,Gaoshu Township
,萬巒鄉,6060,2329,899,1110,320,1538,,1010,382,146,1696,497,430,67,Wanluan Township
