,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 屏東縣普通住戶之住宅所有權屬,,Table 34 Pingtung County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 屏東縣普通住戶之住宅所有權屬,表３４,屏東縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Pingtung County Home Ownership of Ordinary Households,Table 34,Pingtung County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,屏東縣,252245,206852,15292,,17034,13067,Pingtung County,,,,,,,,
,屏東市,69307,55030,3493,,6640,4144,Pingtung City,,,,,,,,
,潮州鎮,19391,15658,608,,2263,862,Chaozhou Township,,,,,,,,
,東港鎮,14366,11386,1361,,677,942,Donggang Township,,,,,,,,
,恆春鎮,9592,6912,604,,1564,512,Hengchun Township,,,,,,,,
,萬丹鄉,14274,12557,1237,,356,124,Wandan Township,,,,,,,,
,長治鄉,9081,7690,513,,426,452,Changzhi Township,,,,,,,,
,麟洛鄉,3331,2965,154,,156,56,Linluo Township,,,,,,,,
,九如鄉,6236,5364,385,,303,184,Jiuru Township,,,,,,,,
,里港鄉,6561,5685,276,,241,359,Ligang Township,,,,,,,,
,鹽埔鄉,7316,6178,302,,309,527,Yanpu Township,,,,,,,,
,高樹鄉,6582,5725,296,,157,404,Gaoshu Township,,,,,,,,
,萬巒鄉,6059,5090,687,,166,116,Wanluan Township,,,,,,,,
,內埔鄉,18089,15423,515,,976,1175,Neipu Township,,,,,,,,
,竹田鄉,5194,4390,232,,217,355,Zhutian Township,,,,,,,,
,新埤鄉,2859,2457,77,,150,175,Xinpi Township,,,,,,,,
,枋寮鄉,7510,6203,304,,685,318,Fangliao Township,,,,,,,,
,新園鄉,10297,8508,1230,,293,266,Xinyuan Township,,,,,,,,
,崁頂鄉,3604,2831,234,,131,408,Kanding Township,,,,,,,,
,林邊鄉,4960,4028,444,,331,157,Linbian Township,,,,,,,,
,南州鄉,2963,2542,221,,103,97,Nanzhou Township,,,,,,,,
,佳冬鄉,6043,4764,656,,213,410,Jiadong Township,,,,,,,,
,琉球鄉,2853,1941,546,,165,201,Liouciou Township,,,,,,,,
,車城鄉,2549,2119,206,,128,96,Checheng Township,,,,,,,,
,滿州鄉,1890,1633,42,,75,140,Manzhou Township,,,,,,,,
,枋山鄉,1337,1069,80,,106,82,Fangshan Township,,,,,,,,
,三地門鄉,1926,1601,196,,44,85,Sandimen Township,,,,,,,,
,霧臺鄉,584,567,11,,1,5,Wutai Township,,,,,,,,
,瑪家鄉,1914,1661,34,,44,175,Majia Township,,,,,,,,
,泰武鄉,868,784,19,,12,53,Taiwu Township,,,,,,,,
,來義鄉,1612,1443,97,,8,64,Laiyi Township,,,,,,,,
,春日鄉,994,883,52,,30,29,Chunri Township,,,,,,,,
,獅子鄉,947,820,77,,23,27,Shizi Township,,,,,,,,
,牡丹鄉,1156,945,103,,41,67,Mudan Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
