,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 屏東縣住宅使用情形,,Table 37 Pingtung County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 屏東縣住宅使用情形,表３７,屏東縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Pingtung County Housing Usage Status,Table 37,Pingtung County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,屏東縣,292234,226329,65905,,17628,13763,34514,Pingtung County,,,,,
,屏東市,80052,63846,16206,,3386,4644,8176,Pingtung City,,,,,
,潮州鎮,21700,16104,5596,,617,752,4227,Chaozhou Township,,,,,
,東港鎮,16186,13498,2688,,814,596,1278,Donggang Township,,,,,
,恆春鎮,11440,7404,4036,,681,1038,2317,Hengchun Township,,,,,
,萬丹鄉,16361,13037,3324,,987,908,1429,Wandan Township,,,,,
,長治鄉,10253,7806,2447,,445,569,1433,Changzhi Township,,,,,
,麟洛鄉,3977,3075,902,,206,158,538,Linluo Township,,,,,
,九如鄉,7224,5989,1235,,368,291,576,Jiuru Township,,,,,
,里港鄉,7906,6149,1757,,390,302,1065,Ligang Township,,,,,
,鹽埔鄉,6961,5473,1488,,268,362,858,Yanpu Township,,,,,
,高樹鄉,8110,6214,1896,,842,312,742,Gaoshu Township,,,,,
,萬巒鄉,6905,4933,1972,,474,298,1200,Wanluan Township,,,,,
,內埔鄉,22302,16674,5628,,1473,957,3198,Neipu Township,,,,,
,竹田鄉,5819,4554,1265,,354,210,701,Zhutian Township,,,,,
,新埤鄉,3732,2786,946,,361,54,531,Xinpi Township,,,,,
,枋寮鄉,8792,6747,2045,,622,444,979,Fangliao Township,,,,,
,新園鄉,11821,10185,1636,,636,395,605,Xinyuan Township,,,,,
,崁頂鄉,3648,3031,617,,240,88,289,Kanding Township,,,,,
,林邊鄉,6127,4837,1290,,342,364,584,Linbian Township,,,,,
,南州鄉,3470,2744,726,,284,155,287,Nanzhou Township,,,,,
,佳冬鄉,6537,5389,1148,,458,153,537,Jiadong Township,,,,,
,琉球鄉,3375,2199,1176,,561,293,322,Liouciou Township,,,,,
,車城鄉,3028,2122,906,,527,97,282,Checheng Township,,,,,
,滿州鄉,2430,1474,956,,426,4,526,Manzhou Township,,,,,
,枋山鄉,1950,1175,775,,174,99,502,Fangshan Township,,,,,
,三地門鄉,1975,1485,490,,192,30,268,Sandimen Township,,,,,
,霧臺鄉,990,566,424,,348,8,68,Wutai Township,,,,,
,瑪家鄉,1928,1599,329,,167,35,127,Majia Township,,,,,
,泰武鄉,1096,845,251,,105,18,128,Taiwu Township,,,,,
,來義鄉,2033,1481,552,,202,19,331,Laiyi Township,,,,,
,春日鄉,1163,948,215,,147,38,30,Chunri Township,,,,,
,獅子鄉,1294,885,409,,173,8,228,Shizi Township,,,,,
,牡丹鄉,1649,1075,574,,358,64,152,Mudan Township,,,,,
