,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 屏東縣住宅之竣工年份,,Table 38 Pingtung County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 屏東縣住宅之竣工年份,表３８,屏東縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Pingtung County Completion Year of Construction of Housing Units,Table 38,Pingtung County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,屏東縣,292234,114877,56925,65931,,28924,25577,17205,8372,Pingtung County,,
,屏東市,80052,30942,16682,20085,,7514,4829,3133,1696,Pingtung City,,
,潮州鎮,21700,8071,3538,4856,,3208,2027,1626,401,Chaozhou Township,,
,東港鎮,16186,5397,2980,3861,,1735,2213,1461,752,Donggang Township,,
,恆春鎮,11440,4314,1714,1866,,2185,1361,884,477,Hengchun Township,,
,萬丹鄉,16361,6145,2897,3917,,1950,1452,965,487,Wandan Township,,
,長治鄉,10253,3561,1208,2923,,1218,1343,885,458,Changzhi Township,,
,麟洛鄉,3977,1726,571,856,,420,404,306,98,Linluo Township,,
,九如鄉,7224,2456,1180,1976,,879,733,398,335,Jiuru Township,,
,里港鄉,7906,3172,1138,2453,,464,679,428,251,Ligang Township,,
,鹽埔鄉,6961,2917,1541,1441,,583,479,282,197,Yanpu Township,,
,高樹鄉,8110,4234,1135,1210,,1012,519,376,143,Gaoshu Township,,
,萬巒鄉,6905,2745,1530,1915,,281,434,234,200,Wanluan Township,,
,內埔鄉,22302,7331,4520,5744,,2368,2339,1467,872,Neipu Township,,
,竹田鄉,5819,2784,1053,1183,,352,447,340,107,Zhutian Township,,
,新埤鄉,3732,1640,1068,645,,174,205,143,62,Xinpi Township,,
,枋寮鄉,8792,4231,2054,1602,,522,383,218,165,Fangliao Township,,
,新園鄉,11821,5219,2355,2274,,947,1026,699,327,Xinyuan Township,,
,崁頂鄉,3648,1356,1024,768,,221,279,192,87,Kanding Township,,
,林邊鄉,6127,2797,1877,973,,222,258,130,128,Linbian Township,,
,南州鄉,3470,1458,849,755,,127,281,114,167,Nanzhou Township,,
,佳冬鄉,6537,2525,1708,1599,,173,532,346,186,Jiadong Township,,
,琉球鄉,3375,1441,641,311,,431,551,313,238,Liouciou Township,,
,車城鄉,3028,1437,518,696,,132,245,142,103,Checheng Township,,
,滿州鄉,2430,1384,348,255,,178,265,218,47,Manzhou Township,,
,枋山鄉,1950,1018,474,233,,111,114,89,25,Fangshan Township,,
,三地門鄉,1975,921,263,278,,171,342,314,28,Sandimen Township,,
,霧臺鄉,990,224,102,28,,342,294,277,17,Wutai Township,,
,瑪家鄉,1928,726,285,232,,376,309,249,60,Majia Township,,
,泰武鄉,1096,273,264,201,,71,287,254,33,Taiwu Township,,
,來義鄉,2033,589,497,299,,251,397,366,31,Laiyi Township,,
,春日鄉,1163,607,284,102,,73,97,53,44,Chunri Township,,
,獅子鄉,1294,564,382,150,,102,96,51,45,Shizi Township,,
,牡丹鄉,1649,672,245,244,,131,357,252,105,Mudan Township,,
