,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 屏東縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 屏東縣住宅之建築類型,表４０,屏東縣,住宅之建築類型
,Table 40 Pingtung County Type of Building,,,,,Table 40 Type of Building,Table 40 Pingtung County Type of Building,Table 40,Pingtung County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,屏東縣,292234,68588,205577,12591,5478,,,,
,Pingtung County,,,,,,,,,
,屏東市,80052,8977,58546,7941,4588,,,,
,Pingtung City,,,,,,,,,
,潮州鎮,21700,5162,14760,1753,25,,,,
,Chaozhou Township,,,,,,,,,
,東港鎮,16186,3130,11795,710,551,,,,
,Donggang Township,,,,,,,,,
,恆春鎮,11440,4130,7115,187,8,,,,
,Hengchun Township,,,,,,,,,
,萬丹鄉,16361,4116,12230,15,0,,,,
,Wandan Township,,,,,,,,,
,長治鄉,10253,1989,7731,529,4,,,,
,Changzhi Township,,,,,,,,,
,麟洛鄉,3977,991,2986,0,0,,,,
,Linluo Township,,,,,,,,,
,九如鄉,7224,1493,5714,0,17,,,,
,Jiuru Township,,,,,,,,,
,里港鄉,7906,1501,6390,10,5,,,,
,Ligang Township,,,,,,,,,
,鹽埔鄉,6961,1872,5016,73,0,,,,
,Yanpu Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 屏東縣住宅之建築類型（續１）,,,,,表４０ 住宅之建築類型,表４０ 屏東縣住宅之建築類型,表４０,屏東縣,住宅之建築類型
,Table 40 Pingtung County Type of Building(Cont.1),,,,,Table 40 Type of Building,Table 40 Pingtung County Type of Building,Table 40,Pingtung County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,高樹鄉,8110,3126,4974,5,5,,,,
,Gaoshu Township,,,,,,,,,
,萬巒鄉,6905,2717,4152,6,30,,,,
,Wanluan Township,,,,,,,,,
,內埔鄉,22302,6666,14358,1222,56,,,,
,Neipu Township,,,,,,,,,
,竹田鄉,5819,1869,3950,0,0,,,,
,Zhutian Township,,,,,,,,,
,新埤鄉,3732,1219,2504,0,9,,,,
,Xinpi Township,,,,,,,,,
,枋寮鄉,8792,2410,6293,78,11,,,,
,Fangliao Township,,,,,,,,,
