,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 屏東縣空閒住宅之樓地板面積,,Table 42 Pingtung County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 屏東縣空閒住宅之樓地板面積,表４２,屏東縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Pingtung County Total Floor Area of Vacant Housing Units,Table 42,Pingtung County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,屏東縣,52142,9737,19541,,13160,8842,862,122,Pingtung County,,
,屏東市,11562,2094,5639,,2279,1366,184,111.6,Pingtung City,,
,潮州鎮,4844,896,1984,,1125,833,6,114.6,Chaozhou Township,,
,東港鎮,2092,473,593,,441,544,41,129.30000000000001,Donggang Township,,
,恆春鎮,2998,1329,1247,,253,145,24,73.400000000000006,Hengchun Township,,
,萬丹鄉,2416,202,639,,954,584,37,147.80000000000001,Wandan Township,,
,長治鄉,1878,317,539,,590,396,36,134,Changzhi Township,,
,麟洛鄉,744,143,194,,276,127,4,126.8,Linluo Township,,
,九如鄉,944,189,331,,279,131,14,120.1,Jiuru Township,,
,里港鄉,1455,134,456,,474,357,34,142.5,Ligang Township,,
,鹽埔鄉,1126,133,360,,337,273,23,141.19999999999999,Yanpu Township,,
,高樹鄉,1584,234,626,,370,330,24,130.4,Gaoshu Township,,
,萬巒鄉,1674,252,464,,544,370,44,136.19999999999999,Wanluan Township,,
,內埔鄉,4671,690,1282,,1403,1111,185,146.69999999999999,Neipu Township,,
,竹田鄉,1055,243,364,,267,172,9,116.6,Zhutian Township,,
,新埤鄉,892,153,290,,259,155,35,133.80000000000001,Xinpi Township,,
,枋寮鄉,1601,134,582,,600,271,14,129.80000000000001,Fangliao Township,,
,新園鄉,1241,186,368,,324,356,7,140.4,Xinyuan Township,,
,崁頂鄉,529,51,166,,169,118,25,148.6,Kanding Township,,
,林邊鄉,926,151,316,,264,180,15,132.80000000000001,Linbian Township,,
,南州鄉,571,64,186,,202,117,2,135.19999999999999,Nanzhou Township,,
,佳冬鄉,995,116,267,,417,181,14,136.1,Jiadong Township,,
,琉球鄉,883,157,355,,211,149,11,120.8,Liouciou Township,,
,車城鄉,809,153,332,,166,126,32,124.4,Checheng Township,,
,滿州鄉,952,240,420,,162,108,22,105.4,Manzhou Township,,
,枋山鄉,676,158,289,,146,80,3,107.6,Fangshan Township,,
,三地門鄉,460,129,162,,117,52,0,106.3,Sandimen Township,,
,霧臺鄉,416,165,194,,46,11,0,80.7,Wutai Township,,
,瑪家鄉,294,59,131,,73,30,1,109.1,Majia Township,,
,泰武鄉,233,68,104,,47,14,0,92.3,Taiwu Township,,
,來義鄉,533,134,207,,136,55,1,105.8,Laiyi Township,,
,春日鄉,177,68,65,,35,7,2,87.4,Chunri Township,,
,獅子鄉,401,79,170,,106,40,6,112.2,Shizi Township,,
,牡丹鄉,510,143,219,,88,53,7,102.6,Mudan Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
