,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 屏東縣有人經常居住住宅之房廳數,,Table 45 Pingtung County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 屏東縣有人經常居住住宅之房廳數,表４５,屏東縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Pingtung County Number of Rooms of Occupied Housing Units,Table 45,Pingtung County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,屏東縣,226329,1542,14551,20289,,54650,58591,76706,4.9000000000000004,Pingtung County,,,
,屏東市,63846,260,2906,5785,,17650,19752,17493,4.8,Pingtung City,,,
,潮州鎮,16104,94,1211,1122,,4258,4742,4677,4.8,Chaozhou Township,,,
,東港鎮,13498,123,413,771,,2361,3555,6275,5.4,Donggang Township,,,
,恆春鎮,7404,235,745,736,,1928,1675,2085,4.5999999999999996,Hengchun Township,,,
,萬丹鄉,13037,46,709,831,,1835,4107,5509,5.2,Wandan Township,,,
,長治鄉,7806,35,584,563,,1445,1523,3656,5.2,Changzhi Township,,,
,麟洛鄉,3075,4,232,176,,523,711,1429,5.4,Linluo Township,,,
,九如鄉,5989,22,350,433,,1144,1409,2631,5.3,Jiuru Township,,,
,里港鄉,6149,4,257,401,,1496,1743,2248,5.2,Ligang Township,,,
,鹽埔鄉,5473,43,438,590,,1478,1299,1625,4.8,Yanpu Township,,,
,高樹鄉,6214,25,732,472,,1363,1005,2617,5.2,Gaoshu Township,,,
,萬巒鄉,4933,28,368,469,,1138,1045,1885,5,Wanluan Township,,,
,內埔鄉,16674,197,1380,2153,,4489,3697,4758,4.5999999999999996,Neipu Township,,,
,竹田鄉,4554,25,383,577,,1191,990,1388,4.8,Zhutian Township,,,
,新埤鄉,2786,22,252,329,,703,482,998,5,Xinpi Township,,,
,枋寮鄉,6747,19,482,525,,1358,1803,2560,5.0999999999999996,Fangliao Township,,,
,新園鄉,10185,24,482,834,,2032,2480,4333,5.2,Xinyuan Township,,,
,崁頂鄉,3031,19,117,107,,558,539,1691,5.7,Kanding Township,,,
,林邊鄉,4837,45,329,475,,1196,1154,1638,4.9000000000000004,Linbian Township,,,
,南州鄉,2744,8,170,230,,631,693,1012,5.0999999999999996,Nanzhou Township,,,
,佳冬鄉,5389,44,311,453,,1225,1200,2156,5.0999999999999996,Jiadong Township,,,
,琉球鄉,2199,71,189,237,,478,423,801,4.9000000000000004,Liouciou Township,,,
,車城鄉,2122,36,215,313,,612,400,546,4.5,Checheng Township,,,
,滿州鄉,1474,10,203,208,,452,236,365,4.4000000000000004,Manzhou Township,,,
,枋山鄉,1175,7,120,178,,263,209,398,4.9000000000000004,Fangshan Township,,,
,三地門鄉,1485,19,150,191,,472,325,328,4.4000000000000004,Sandimen Township,,,
,霧臺鄉,566,1,47,82,,201,114,121,4.4000000000000004,Wutai Township,,,
,瑪家鄉,1599,21,161,235,,533,280,369,4.4000000000000004,Majia Township,,,
,泰武鄉,845,6,69,98,,266,163,243,4.7,Taiwu Township,,,
,來義鄉,1481,8,149,212,,520,323,269,4.4000000000000004,Laiyi Township,,,
,春日鄉,948,24,131,121,,301,176,195,4.3,Chunri Township,,,
,獅子鄉,885,7,103,168,,258,165,184,4.3,Shizi Township,,,
,牡丹鄉,1075,10,163,214,,292,173,223,4.2,Mudan Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 屏東縣有人經常居住住宅之房廳數（續）,,Table 45 Pingtung County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 屏東縣有人經常居住住宅之房廳數（續）,表４５,屏東縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Pingtung County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Pingtung County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,226329,1542,14551,20289,,54650,58591,76706,4.9000000000000004,Grand Total,,,
,未滿６０平方公尺,17048,1258,6232,4245,,4791,427,95,2.8,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,74861,170,5748,8432,,25025,21622,13864,4.5,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,76801,95,1861,4466,,15486,23508,31385,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,51708,19,684,3068,,8981,12224,26732,5.6,180-Under 300 Square Meters,,,
,３００平方公尺以上,5911,-,26,78,,367,810,4630,7,300 Square Meters and More,,,
