,,民國109年,,,,,2020,,,,,,
,表３１ 彰化縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Changhua County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 彰化縣住戶數、常住人口數及平均每戶人口數,表３１,彰化縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Changhua County Number of Households, Resident Population and Average",Table 31,Changhua County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,彰化縣,359748,1186795,3.3,355173,,1117611,3.1,4575,69184,15.1,Changhua County,
,彰化市,68301,220172,3.2,67777,,212536,3.1,524,7636,14.6,Changhua City,
,鹿港鎮,24576,90069,3.7,24058,,81529,3.4,518,8540,16.5,Lugang Township,
,和美鎮,26023,93165,3.6,25553,,86884,3.4,470,6281,13.4,Hemei Township,
,線西鄉,4196,16158,3.9,4028,,14195,3.5,168,1963,11.7,Xianxi Township,
,伸港鄉,10153,36187,3.6,9913,,33366,3.4,240,2821,11.8,Shengang Township,
,福興鄉,12689,44836,3.5,12448,,41753,3.4,241,3083,12.8,Fuxing Township,
,秀水鄉,10599,37325,3.5,10351,,34771,3.4,248,2554,10.3,Xiushui Township,
,花壇鄉,13584,45420,3.3,13393,,42695,3.2,191,2725,14.3,Huatan Township,
,芬園鄉,6113,21321,3.5,6057,,20667,3.4,56,654,11.7,Fenyuan Township,
,員林市,38624,113411,2.9,38445,,111273,2.9,179,2138,11.9,Yuanlin City,
,溪湖鎮,14708,47039,3.2,14561,,45654,3.1,147,1385,9.4,Xihu Township,
,田中鎮,11265,34903,3.1,11176,,33166,3,89,1737,19.5,Tianzhong Township,
,大村鄉,11283,42858,3.8,11077,,36472,3.3,206,6386,31,Dacun Township,
,埔鹽鄉,8102,28586,3.5,7937,,27295,3.4,165,1291,7.8,Puyan Township,
,埔心鄉,10278,32602,3.2,10165,,31183,3.1,113,1419,12.6,Puxin Township,
,永靖鄉,9423,31360,3.3,9332,,28485,3.1,91,2875,31.6,Yongjing Township,
,社頭鄉,12074,36565,3,11968,,35558,3,106,1007,9.5,Shetou Township,
,二水鄉,4018,11946,3,3988,,10757,2.7,30,1189,39.6,Ershui Township,
,北斗鎮,10499,32589,3.1,10384,,31262,3,115,1327,11.5,Beidou Township,
,二林鎮,13358,43652,3.3,13166,,39644,3,192,4008,20.9,Erlin Township,
,田尾鄉,7506,24848,3.3,7457,,23381,3.1,49,1467,29.9,Tianwei Township,
,埤頭鄉,8516,27298,3.2,8387,,25577,3,129,1721,13.3,Pitou Township,
,芳苑鄉,8141,27103,3.3,7931,,23764,3,210,3339,15.9,Fangyuan Township,
,大城鄉,3755,11327,3,3726,,10904,2.9,29,423,14.6,Dacheng Township,
,竹塘鄉,3790,10283,2.7,3774,,10176,2.7,16,107,6.7,Zhutang Township,
,溪州鄉,8174,25772,3.2,8121,,24664,3,53,1108,20.9,Xizhou Township,
