,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 彰化縣普通住戶之住宅所有權屬,,Table 34 Changhua County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 彰化縣普通住戶之住宅所有權屬,表３４,彰化縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Changhua County Home Ownership of Ordinary Households,Table 34,Changhua County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,彰化縣,354633,308127,17901,,19238,9367,Changhua County,,,,,,,,
,彰化市,67647,56041,3970,,5212,2424,Changhua City,,,,,,,,
,鹿港鎮,24017,20589,1189,,1191,1048,Lugang Township,,,,,,,,
,和美鎮,25511,22762,1275,,1032,442,Hemei Township,,,,,,,,
,線西鄉,4028,3537,192,,227,72,Xianxi Township,,,,,,,,
,伸港鄉,9877,8592,720,,216,349,Shengang Township,,,,,,,,
,福興鄉,12448,11150,460,,650,188,Fuxing Township,,,,,,,,
,秀水鄉,10322,9035,776,,352,159,Xiushui Township,,,,,,,,
,花壇鄉,13377,11641,853,,607,276,Huatan Township,,,,,,,,
,芬園鄉,6054,5727,133,,122,72,Fenyuan Township,,,,,,,,
,員林市,38430,31010,1959,,3609,1852,Yuanlin City,,,,,,,,
,溪湖鎮,14528,12729,660,,836,303,Xihu Township,,,,,,,,
,田中鎮,11176,10054,376,,429,317,Tianzhong Township,,,,,,,,
,大村鄉,11059,9858,421,,569,211,Dacun Township,,,,,,,,
,埔鹽鄉,7937,7377,254,,198,108,Puyan Township,,,,,,,,
,埔心鄉,10165,8812,741,,419,193,Puxin Township,,,,,,,,
,永靖鄉,9321,8654,249,,252,166,Yongjing Township,,,,,,,,
,社頭鄉,11968,11271,172,,456,69,Shetou Township,,,,,,,,
,二水鄉,3986,3634,128,,130,94,Ershui Township,,,,,,,,
,北斗鎮,10375,8760,611,,802,202,Beidou Township,,,,,,,,
,二林鎮,13160,11853,494,,647,166,Erlin Township,,,,,,,,
,田尾鄉,7452,6670,334,,263,185,Tianwei Township,,,,,,,,
,埤頭鄉,8344,7263,506,,450,125,Pitou Township,,,,,,,,
,芳苑鄉,7878,6853,639,,235,151,Fangyuan Township,,,,,,,,
,大城鄉,3718,3443,176,,32,67,Dacheng Township,,,,,,,,
,竹塘鄉,3746,3438,153,,136,19,Zhutang Township,,,,,,,,
,溪州鄉,8109,7374,460,,166,109,Xizhou Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
