,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 彰化縣住宅之竣工年份,,Table 38 Changhua County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 彰化縣住宅之竣工年份,表３８,彰化縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Changhua County Completion Year of Construction of Housing Units,Table 38,Changhua County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,彰化縣,420090,164022,80289,104367,,37474,33938,18068,15870,Changhua County,,
,彰化市,82408,32435,16410,19929,,9177,4457,3267,1190,Changhua City,,
,鹿港鎮,26411,10395,4279,6703,,2458,2576,1621,955,Lugang Township,,
,和美鎮,29547,10599,5729,7250,,3034,2935,1393,1542,Hemei Township,,
,線西鄉,4967,1700,827,1407,,555,478,285,193,Xianxi Township,,
,伸港鄉,11518,4094,1951,2980,,962,1531,888,643,Shengang Township,,
,福興鄉,14901,3611,2929,3406,,3674,1281,859,422,Fuxing Township,,
,秀水鄉,11637,3756,2667,3135,,791,1288,704,584,Xiushui Township,,
,花壇鄉,14591,5927,2978,3423,,1017,1246,490,756,Huatan Township,,
,芬園鄉,7385,3329,1422,1604,,668,362,204,158,Fenyuan Township,,
,員林市,43521,15096,9453,10875,,3172,4925,2246,2679,Yuanlin City,,
,溪湖鎮,18501,6845,3574,4999,,1438,1645,791,854,Xihu Township,,
,田中鎮,13101,5328,2651,3315,,901,906,404,502,Tianzhong Township,,
,大村鄉,12529,4086,2434,3885,,850,1274,514,760,Dacun Township,,
,埔鹽鄉,10464,4155,2094,2854,,614,747,193,554,Puyan Township,,
,埔心鄉,11758,3737,2258,2821,,1538,1404,893,511,Puxin Township,,
,永靖鄉,10812,4064,2330,2974,,771,673,336,337,Yongjing Township,,
,社頭鄉,13757,5516,2841,3745,,722,933,466,467,Shetou Township,,
,二水鄉,5722,3590,949,807,,198,178,71,107,Ershui Township,,
,北斗鎮,11769,4468,2194,3163,,727,1217,547,670,Beidou Township,,
,二林鎮,16158,6894,3236,4144,,670,1214,542,672,Erlin Township,,
,田尾鄉,9409,3735,1194,2691,,1056,733,326,407,Tianwei Township,,
,埤頭鄉,10007,3999,1775,2701,,758,774,284,490,Pitou Township,,
,芳苑鄉,10371,6025,1465,1774,,850,257,215,42,Fangyuan Township,,
,大城鄉,4445,3041,457,715,,114,118,45,73,Dacheng Township,,
,竹塘鄉,4753,2695,747,991,,185,135,77,58,Zhutang Township,,
,溪州鄉,9648,4902,1445,2076,,574,651,407,244,Xizhou Township,,
