,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 彰化縣住宅之樓地板面積,,Table 39 Changhua County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 彰化縣住宅之樓地板面積,表３９,彰化縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Changhua County Total Floor Area of Housing Units,Table 39,Changhua County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,彰化縣,420090,37722,123493,,145766,99413,13696,147.5,Changhua County,,
,彰化市,82408,5449,28321,,27776,19372,1490,143.4,Changhua City,,
,鹿港鎮,26411,2682,7794,,8927,5797,1211,147.69999999999999,Lugang Township,,
,和美鎮,29547,1574,6878,,12620,7514,961,155.19999999999999,Hemei Township,,
,線西鄉,4967,441,1360,,1725,1090,351,155.19999999999999,Xianxi Township,,
,伸港鄉,11518,649,2592,,4799,3116,362,158.4,Shengang Township,,
,福興鄉,14901,904,4502,,4602,3856,1037,161.30000000000001,Fuxing Township,,
,秀水鄉,11637,885,2973,,4167,3180,432,154.5,Xiushui Township,,
,花壇鄉,14591,1423,3534,,5557,3610,467,149.6,Huatan Township,,
,芬園鄉,7385,718,1936,,2439,1877,415,156.30000000000001,Fenyuan Township,,
,員林市,43521,4264,16452,,13470,8412,923,134.19999999999999,Yuanlin City,,
,溪湖鎮,18501,1867,4424,,6465,5013,732,154.5,Xihu Township,,
,田中鎮,13101,1858,3725,,4653,2590,275,135.19999999999999,Tianzhong Township,,
,大村鄉,12529,746,3177,,4801,3239,566,158.5,Dacun Township,,
,埔鹽鄉,10464,1078,2767,,3175,2579,865,161.80000000000001,Puyan Township,,
,埔心鄉,11758,1675,3363,,4008,2507,205,135.9,Puxin Township,,
,永靖鄉,10812,2094,2771,,3402,2183,362,137.5,Yongjing Township,,
,社頭鄉,13757,1367,3331,,5507,3085,467,151.6,Shetou Township,,
,二水鄉,5722,899,1454,,1698,1565,106,143.4,Ershui Township,,
,北斗鎮,11769,679,3439,,4772,2646,233,147,Beidou Township,,
,二林鎮,16158,1456,4677,,5062,4450,513,152.30000000000001,Erlin Township,,
,田尾鄉,9409,1468,2096,,2840,2609,396,148.80000000000001,Tianwei Township,,
,埤頭鄉,10007,659,2984,,3703,2449,212,148.80000000000001,Pitou Township,,
,芳苑鄉,10371,799,3012,,3496,2576,488,153.30000000000001,Fangyuan Township,,
,大城鄉,4445,571,1440,,1212,1033,189,145.9,Dacheng Township,,
,竹塘鄉,4753,511,1738,,1543,837,124,135.19999999999999,Zhutang Township,,
,溪州鄉,9648,1006,2753,,3347,2228,314,146.5,Xizhou Township,,
