,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 彰化縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 彰化縣住宅之建築類型,表４０,彰化縣,住宅之建築類型
,Table 40 Changhua County Type of Building,,,,,Table 40 Type of Building,Table 40 Changhua County Type of Building,Table 40,Changhua County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,彰化縣,420090,68546,327614,17494,6436,,,,
,Changhua County,,,,,,,,,
,彰化市,82408,10191,58823,9630,3764,,,,
,Changhua City,,,,,,,,,
,鹿港鎮,26411,4233,20645,1469,64,,,,
,Lugang Township,,,,,,,,,
,和美鎮,29547,6128,22653,582,184,,,,
,Hemei Township,,,,,,,,,
,線西鄉,4967,1226,3741,0,0,,,,
,Xianxi Township,,,,,,,,,
,伸港鄉,11518,2174,9142,202,0,,,,
,Shengang Township,,,,,,,,,
,福興鄉,14901,3216,11422,188,75,,,,
,Fuxing Township,,,,,,,,,
,秀水鄉,11637,2401,9236,0,0,,,,
,Xiushui Township,,,,,,,,,
,花壇鄉,14591,3575,10970,46,0,,,,
,Huatan Township,,,,,,,,,
,芬園鄉,7385,2277,5108,0,0,,,,
,Fenyuan Township,,,,,,,,,
,員林市,43521,4437,33134,3901,2049,,,,
,Yuanlin City,,,,,,,,,
,溪湖鎮,18501,3184,15057,260,0,,,,
,Xihu Township,,,,,,,,,
,田中鎮,13101,1530,11283,288,0,,,,
,Tianzhong Township,,,,,,,,,
,大村鄉,12529,2659,9612,179,79,,,,
,Dacun Township,,,,,,,,,
,埔鹽鄉,10464,2232,8223,0,9,,,,
,Puyan Township,,,,,,,,,
,埔心鄉,11758,2375,9265,118,0,,,,
,Puxin Township,,,,,,,,,
,永靖鄉,10812,1859,8953,0,0,,,,
,Yongjing Township,,,,,,,,,
,社頭鄉,13757,1980,11765,12,0,,,,
,Shetou Township,,,,,,,,,
,二水鄉,5722,800,4922,0,0,,,,
,Ershui Township,,,,,,,,,
,北斗鎮,11769,1563,9983,71,152,,,,
,Beidou Township,,,,,,,,,
,二林鎮,16158,1851,13711,536,60,,,,
,Erlin Township,,,,,,,,,
,田尾鄉,9409,1834,7571,4,0,,,,
,Tianwei Township,,,,,,,,,
,埤頭鄉,10007,2008,7999,0,0,,,,
,Pitou Township,,,,,,,,,
,芳苑鄉,10371,1631,8735,5,0,,,,
,Fangyuan Township,,,,,,,,,
,大城鄉,4445,670,3775,0,0,,,,
,Dacheng Township,,,,,,,,,
,竹塘鄉,4753,568,4185,0,0,,,,
,Zhutang Township,,,,,,,,,
,溪州鄉,9648,1944,7701,3,0,,,,
,Xizhou Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 彰化縣住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 彰化縣住宅之建築類型,表４０,彰化縣,住宅之建築類型
,Table 40 Changhua County Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Changhua County Type of Building,Table 40,Changhua County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,420090,68546,327614,17494,6436,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,37722,11431,24512,1555,224,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,123493,23408,86448,8695,4942,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,145766,19506,120772,4862,626,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,99413,12611,84202,1973,627,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,13696,1590,11680,409,17,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,420090,68546,327614,17494,6436,,,,
,Grand Total,,,,,,,,,
,６９年以前,164022,24360,139506,145,11,,,,
,Before 1980,,,,,,,,,
,７０－７９年,80289,17404,60201,2592,92,,,,
,1981-1990,,,,,,,,,
,８０－８９年,104367,18756,66771,13065,5775,,,,
,1991-2000,,,,,,,,,
,９０－９９年,37474,4315,32000,939,220,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,33938,3711,29136,753,338,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,18068,2268,15747,53,0,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,15870,1443,13389,700,338,,,,
,2016-2020,,,,,,,,,
