,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 彰化縣空閒住宅之竣工年份,,Table 41 Changhua County Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 彰化縣空閒住宅之竣工年份,表４１,彰化縣,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 Changhua County Completion Year of Vacant Housing Units,Table 41,Changhua County,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,彰化縣,81379,36608,14158,18177,,6055,6381,2804,3577,Changhua County,,
,彰化市,12291,5382,2223,3148,,999,539,372,167,Changhua City,,
,鹿港鎮,4036,1628,640,853,,318,597,325,272,Lugang Township,,
,和美鎮,3918,1990,691,644,,247,346,131,215,Hemei Township,,
,線西鄉,965,491,145,215,,67,47,23,24,Xianxi Township,,
,伸港鄉,1877,935,274,388,,134,146,65,81,Shengang Township,,
,福興鄉,3612,928,740,748,,881,315,219,96,Fuxing Township,,
,秀水鄉,2520,957,513,647,,119,284,123,161,Xiushui Township,,
,花壇鄉,2775,1395,431,561,,163,225,45,180,Huatan Township,,
,芬園鄉,1999,941,389,379,,176,114,54,60,Fenyuan Township,,
,員林市,6795,2850,1291,1463,,418,773,376,397,Yuanlin City,,
,溪湖鎮,4236,1690,782,1039,,312,413,143,270,Xihu Township,,
,田中鎮,3520,1536,562,950,,201,271,109,162,Tianzhong Township,,
,大村鄉,2136,810,398,544,,120,264,72,192,Dacun Township,,
,埔鹽鄉,3061,1461,481,758,,157,204,58,146,Puyan Township,,
,埔心鄉,2722,1114,485,489,,297,337,228,109,Puxin Township,,
,永靖鄉,2109,815,410,616,,187,81,29,52,Yongjing Township,,
,社頭鄉,2545,1319,372,581,,157,116,49,67,Shetou Township,,
,二水鄉,1683,1126,221,190,,62,84,34,50,Ershui Township,,
,北斗鎮,2030,782,355,500,,78,315,68,247,Beidou Township,,
,二林鎮,4070,1506,1059,1043,,134,328,64,264,Erlin Township,,
,田尾鄉,2065,1145,242,393,,163,122,29,93,Tianwei Township,,
,埤頭鄉,2510,1135,441,601,,160,173,47,126,Pitou Township,,
,芳苑鄉,3020,1715,376,576,,278,75,54,21,Fangyuan Township,,
,大城鄉,1081,805,87,130,,35,24,5,19,Dacheng Township,,
,竹塘鄉,1365,827,246,231,,36,25,11,14,Zhutang Township,,
,溪州鄉,2438,1325,304,490,,156,163,71,92,Xizhou Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
