,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 彰化縣空閒住宅之樓地板面積,,Table 42 Changhua County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 彰化縣空閒住宅之樓地板面積,表４２,彰化縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Changhua County Total Floor Area of Vacant Housing Units,Table 42,Changhua County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,彰化縣,81379,12810,26484,,22969,17157,1959,133.80000000000001,Changhua County,,
,彰化市,12291,1928,5025,,3218,2045,75,121,Changhua City,,
,鹿港鎮,4036,714,1282,,1243,747,50,128.5,Lugang Township,,
,和美鎮,3918,553,1240,,1290,804,31,131.80000000000001,Hemei Township,,
,線西鄉,965,197,301,,262,180,25,128,Xianxi Township,,
,伸港鄉,1877,199,599,,634,402,43,142,Shengang Township,,
,福興鄉,3612,358,1348,,922,780,204,145.19999999999999,Fuxing Township,,
,秀水鄉,2520,327,719,,745,687,42,141.5,Xiushui Township,,
,花壇鄉,2775,493,798,,776,653,55,135.9,Huatan Township,,
,芬園鄉,1999,277,551,,613,469,89,146.1,Fenyuan Township,,
,員林市,6795,978,2796,,1676,1129,216,125.3,Yuanlin City,,
,溪湖鎮,4236,610,1069,,1339,1085,133,145,Xihu Township,,
,田中鎮,3520,701,976,,1162,592,89,127.9,Tianzhong Township,,
,大村鄉,2136,219,565,,578,658,116,157.69999999999999,Dacun Township,,
,埔鹽鄉,3061,481,820,,837,714,209,150.69999999999999,Puyan Township,,
,埔心鄉,2722,714,774,,648,557,29,119.6,Puxin Township,,
,永靖鄉,2109,583,533,,501,427,65,129.1,Yongjing Township,,
,社頭鄉,2545,386,569,,893,620,77,144.5,Shetou Township,,
,二水鄉,1683,351,441,,422,448,21,136.80000000000001,Ershui Township,,
,北斗鎮,2030,174,690,,642,516,8,138.30000000000001,Beidou Township,,
,二林鎮,4070,491,1463,,1003,1025,88,140.1,Erlin Township,,
,田尾鄉,2065,637,450,,456,478,44,122.6,Tianwei Township,,
,埤頭鄉,2510,294,936,,791,471,18,131.6,Pitou Township,,
,芳苑鄉,3020,389,869,,890,746,126,144.80000000000001,Fangyuan Township,,
,大城鄉,1081,173,397,,237,238,36,136.30000000000001,Dacheng Township,,
,竹塘鄉,1365,224,501,,394,220,26,125.5,Zhutang Township,,
,溪州鄉,2438,359,772,,797,466,44,134.19999999999999,Xizhou Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
