,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 彰化縣有人經常居住住宅之房廳數,,Table 45 Changhua County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 彰化縣有人經常居住住宅之房廳數,表４５,彰化縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Changhua County Number of Rooms of Occupied Housing Units,Table 45,Changhua County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,彰化縣,313698,1951,18536,27091,,76541,76514,113065,5,Changhua County,,,
,彰化市,65081,358,2151,4523,,17616,17254,23179,5.0999999999999996,Changhua City,,,
,鹿港鎮,19950,214,1467,1643,,5212,4455,6959,5.0999999999999996,Lugang Township,,,
,和美鎮,24043,143,954,1825,,5037,5952,10132,5.2,Hemei Township,,,
,線西鄉,3631,29,226,386,,791,809,1390,5.0999999999999996,Xianxi Township,,,
,伸港鄉,8769,39,314,791,,1872,2647,3106,5.0999999999999996,Shengang Township,,,
,福興鄉,11108,27,452,955,,2984,3084,3606,5.0999999999999996,Fuxing Township,,,
,秀水鄉,8416,42,443,568,,1528,2026,3809,5.3,Xiushui Township,,,
,花壇鄉,11121,41,690,1224,,2770,3009,3387,4.9000000000000004,Huatan Township,,,
,芬園鄉,4957,20,389,388,,1054,1075,2031,5.2,Fenyuan Township,,,
,員林市,34107,227,2144,4133,,8895,8298,10410,4.8,Yuanlin City,,,
,溪湖鎮,12996,73,1042,975,,2873,2813,5220,5.0999999999999996,Xihu Township,,,
,田中鎮,9236,115,784,1103,,2532,1927,2775,4.7,Tianzhong Township,,,
,大村鄉,10111,36,545,708,,2195,2529,4098,5.0999999999999996,Dacun Township,,,
,埔鹽鄉,7208,27,593,662,,1514,1479,2933,5.3,Puyan Township,,,
,埔心鄉,7893,81,564,640,,1895,1777,2936,5,Puxin Township,,,
,永靖鄉,8392,49,909,1238,,2107,1935,2154,4.5999999999999996,Yongjing Township,,,
,社頭鄉,10283,114,632,939,,2481,2941,3176,4.8,Shetou Township,,,
,二水鄉,3917,19,426,459,,979,847,1187,4.7,Ershui Township,,,
,北斗鎮,8449,44,304,521,,2434,2110,3036,5.0999999999999996,Beidou Township,,,
,二林鎮,10368,73,785,740,,2403,2038,4329,5.2,Erlin Township,,,
,田尾鄉,6555,35,429,673,,1783,1714,1921,4.9000000000000004,Tianwei Township,,,
,埤頭鄉,6694,20,373,400,,1286,1686,2929,5.3,Pitou Township,,,
,芳苑鄉,6818,40,540,594,,1799,1402,2443,5.0999999999999996,Fangyuan Township,,,
,大城鄉,3336,24,397,269,,758,558,1330,5.0999999999999996,Dacheng Township,,,
,竹塘鄉,3224,13,309,245,,610,607,1440,5.5,Zhutang Township,,,
,溪州鄉,7035,48,674,489,,1133,1542,3149,5.4,Xizhou Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 彰化縣有人經常居住住宅之房廳數（續）,,Table 45 Changhua County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 彰化縣有人經常居住住宅之房廳數（續）,表４５,彰化縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Changhua County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Changhua County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,313698,1951,18536,27091,,76541,76514,113065,5,Grand Total,,,
,未滿６０平方公尺,21084,1691,7757,4224,,6760,543,109,2.9,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,89109,154,7332,11020,,30193,20847,19563,4.5,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,115084,97,2548,6705,,24311,34954,46469,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,77126,9,886,5012,,14777,18509,37933,5.6,180-Under 300 Square Meters,,,
,３００平方公尺以上,11295,-,13,130,,500,1661,8991,7.4,300 Square Meters and More,,,
