,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 彰化縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Changhua County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 彰化縣有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,彰化縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Changhua County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Changhua County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,彰化縣,313698,34567,134123,71775,73233,1.4,,62901,117230,98120,35447,0.6,Changhua County
,彰化市,65081,6029,29276,15069,14707,1.6,,10398,25597,20708,8378,0.7,Changhua City
,鹿港鎮,19950,3017,8975,4259,3699,1.2,,4642,7784,5476,2048,0.6,Lugang Township
,和美鎮,24043,3033,11029,5094,4887,1.4,,4459,9774,7332,2478,0.7,Hemei Township
,線西鄉,3631,492,1711,750,678,1.3,,748,1410,1113,360,0.6,Xianxi Township
,伸港鄉,8769,1255,4127,1638,1749,1.3,,1888,3442,2497,942,0.6,Shengang Township
,福興鄉,11108,1536,4947,2376,2249,1.4,,2812,4044,3116,1136,0.6,Fuxing Township
,秀水鄉,8416,1137,3488,1799,1992,1.3,,1941,2937,2600,938,0.6,Xiushui Township
,花壇鄉,11121,1503,4839,2449,2330,1.3,,2487,4341,3201,1092,0.6,Huatan Township
,芬園鄉,4957,572,2116,1053,1216,1.2,,1221,1912,1378,446,0.5,Fenyuan Township
,員林市,34107,3070,14088,8485,8464,1.5,,5557,12418,11903,4229,0.7,Yuanlin City
,溪湖鎮,12996,1376,5259,3227,3134,1.5,,2835,4623,4171,1367,0.6,Xihu Township
,田中鎮,9236,1063,3706,2214,2253,1.3,,1795,3198,3220,1023,0.6,Tianzhong Township
,大村鄉,10111,1028,4676,2317,2090,1.4,,2001,4018,2915,1177,0.6,Dacun Township
,埔鹽鄉,7208,826,3050,1659,1673,1.4,,1826,2614,2050,718,0.6,Puyan Township
,埔心鄉,7893,857,3347,1802,1887,1.3,,1556,3058,2443,836,0.5,Puxin Township
,永靖鄉,8392,1133,3658,1904,1697,1.4,,2359,2974,2468,591,0.5,Yongjing Township
,社頭鄉,10283,965,4090,2477,2751,1.4,,1911,3802,3349,1221,0.6,Shetou Township
,二水鄉,3917,368,1236,1016,1297,1.7,,767,1229,1508,413,0.7,Ershui Township
,北斗鎮,8449,905,3485,1998,2061,1.4,,1570,3170,2638,1071,0.6,Beidou Township
,二林鎮,10368,842,4033,2538,2955,1.4,,2356,3552,3294,1166,0.5,Erlin Township
,田尾鄉,6555,848,2906,1376,1425,1.4,,1579,2313,1943,720,0.6,Tianwei Township
,埤頭鄉,6694,592,2604,1624,1874,1.4,,1193,2342,2273,886,0.6,Pitou Township
,芳苑鄉,6818,795,2553,1576,1894,1.5,,1754,2301,2044,719,0.6,Fangyuan Township
,大城鄉,3336,347,1186,728,1075,1.6,,942,1032,1059,303,0.5,Dacheng Township
,竹塘鄉,3224,233,1039,820,1132,1.8,,644,1010,1167,403,0.6,Zhutang Township
,溪州鄉,7035,745,2699,1527,2064,1.5,,1660,2335,2254,786,0.6,Xizhou Township
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 彰化縣有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 Changhua County Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 彰化縣有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,彰化縣,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Changhua County Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Changhua County,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
