,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,新北市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 New Taipei City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,New Taipei City,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,新北市,2290003,1027309,461915,800779,,,
,New Taipei City,,,,,,,
,板橋區,310850,146004,66166,98680,,,
,Banqiao District,,,,,,,
,三重區,229927,98249,39412,92266,,,
,Sanchong District,,,,,,,
,中和區,242315,104615,45924,91776,,,
,Zhonghe District,,,,,,,
,永和區,115194,32773,23207,59214,,,
,Yonghe District,,,,,,,
,新莊區,244787,116903,58553,69331,,,
,Xinzhuang District,,,,,,,
,新店區,166631,75612,22386,68633,,,
,Xindian District,,,,,,,
,樹林區,105992,55733,27957,22302,,,
,Shulin District,,,,,,,
,鶯歌區,45699,20940,8379,16380,,,
,Yingge District,,,,,,,
,三峽區,59623,30911,15958,12754,,,
,Sanxia District,,,,,,,
,淡水區,106457,53595,11846,41016,,,
,Danshui District,,,,,,,
,汐止區,134011,55894,7977,70140,,,
,Xizhi District,,,,,,,
,瑞芳區,15670,9144,1706,4820,,,
,Ruifang District,,,,,,,
,土城區,142729,65740,41522,35467,,,
,Tucheng District,,,,,,,
,蘆洲區,123930,49979,32637,41314,,,
,Luzhou District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,新北市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 New Taipei City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,New Taipei City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,五股區,55575,21499,17980,16096,,,
,Wugu District,,,,,,,
,泰山區,45873,17834,15527,12512,,,
,Taishan District,,,,,,,
,林口區,68834,32337,8765,27732,,,
,Linkou District,,,,,,,
,深坑區,17557,6796,2558,8203,,,
,Shenkeng District,,,,,,,
,石碇區,1991,858,612,521,,,
,Shiding District,,,,,,,
,坪林區,1317,1033,160,124,,,
,Pinglin District,,,,,,,
,三芝區,10745,4963,4111,1671,,,
,Sanzhi District,,,,,,,
,石門區,2296,1255,835,206,,,
,Shimen District,,,,,,,
,八里區,21199,11149,4305,5745,,,
,Bali District,,,,,,,
,平溪區,913,595,179,139,,,
,Pingxi District,,,,,,,
,雙溪區,1527,909,367,251,,,
,Shuangxi District,,,,,,,
,貢寮區,2771,2433,185,153,,,
,Gongliao District,,,,,,,
,金山區,7278,5280,996,1002,,,
,Jinshan District,,,,,,,
,萬里區,6860,3396,1346,2118,,,
,Wanli District,,,,,,,
,烏來區,1452,880,359,213,,,
,Wulai District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）,表１４,新北市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續２）
,Table 14 New Taipei City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,New Taipei City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.2),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,新北市,1245465,571455,262812,411198,,,
,New Taipei City,,,,,,,
,板橋區,170661,81151,39201,50309,,,
,Banqiao District,,,,,,,
,三重區,124485,55957,23256,45272,,,
,Sanchong District,,,,,,,
,中和區,128394,57517,24876,46001,,,
,Zhonghe District,,,,,,,
,永和區,60355,17082,13140,30133,,,
,Yonghe District,,,,,,,
,新莊區,132835,64059,32722,36054,,,
,Xinzhuang District,,,,,,,
,新店區,89464,41024,12974,35466,,,
,Xindian District,,,,,,,
,樹林區,58552,31925,14946,11681,,,
,Shulin District,,,,,,,
,鶯歌區,25787,11643,4778,9366,,,
,Yingge District,,,,,,,
,三峽區,33672,17112,9178,7382,,,
,Sanxia District,,,,,,,
,淡水區,56453,29023,7052,20378,,,
,Danshui District,,,,,,,
,汐止區,72151,30702,4944,36505,,,
,Xizhi District,,,,,,,
,瑞芳區,9187,5347,1087,2753,,,
,Ruifang District,,,,,,,
,土城區,78598,37406,22991,18201,,,
,Tucheng District,,,,,,,
,蘆洲區,67873,28661,18455,20757,,,
,Luzhou District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）,表１４ 新北市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）,表１４,新北市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續３）
,Table 14 New Taipei City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,New Taipei City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.3),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,五股區,30469,12335,9790,8344,,,
,Wugu District,,,,,,,
,泰山區,25169,10183,8369,6617,,,
,Taishan District,,,,,,,
,林口區,37646,17051,5471,15124,,,
,Linkou District,,,,,,,
,深坑區,9584,3677,1593,4314,,,
,Shenkeng District,,,,,,,
,石碇區,1222,591,330,301,,,
,Shiding District,,,,,,,
,坪林區,812,638,106,68,,,
,Pinglin District,,,,,,,
,三芝區,6142,2783,2425,934,,,
,Sanzhi District,,,,,,,
,石門區,1428,793,510,125,,,
,Shimen District,,,,,,,
,八里區,12215,6782,2455,2978,,,
,Bali District,,,,,,,
,平溪區,569,354,120,95,,,
,Pingxi District,,,,,,,
,雙溪區,893,507,227,159,,,
,Shuangxi District,,,,,,,
,貢寮區,1663,1472,101,90,,,
,Gongliao District,,,,,,,
,金山區,4245,3120,616,509,,,
,Jinshan District,,,,,,,
,萬里區,4140,2082,886,1172,,,
,Wanli District,,,,,,,
,烏來區,801,478,213,110,,,
,Wulai District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
