,,民國109年,,,,,2020,,,,,,
,表３１ 新北市住戶數、常住人口數及平均每戶人口數,,"Table 31 New Taipei City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 新北市住戶數、常住人口數及平均每戶人口數,表３１,新北市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 New Taipei City Number of Households, Resident Population and Average",Table 31,New Taipei City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,新北市,1532931,4365947,2.8,1526303,,4255681,2.8,6628,110266,16.600000000000001,New Taipei City,
,板橋區,210324,599897,2.9,209909,,593369,2.8,415,6528,15.7,Banqiao District,
,三重區,150957,423771,2.8,150638,,419646,2.8,319,4125,12.9,Sanchong District,
,中和區,167865,453465,2.7,167297,,446104,2.7,568,7361,13,Zhonghe District,
,永和區,88343,230992,2.6,88159,,228802,2.6,184,2190,11.9,Yonghe District,
,新莊區,150002,452493,3,149269,,439794,2.9,733,12699,17.3,Xinzhuang District,
,新店區,119884,327883,2.7,119546,,320700,2.7,338,7183,21.3,Xindian District,
,樹林區,62714,199848,3.2,61847,,189872,3.1,867,9976,11.5,Shulin District,
,鶯歌區,30399,90395,3,30162,,86521,2.9,237,3874,16.3,Yingge District,
,三峽區,41813,119568,2.9,41559,,113952,2.7,254,5616,22.1,Sanxia District,
,淡水區,80323,213968,2.7,79958,,203281,2.5,365,10687,29.3,Danshui District,
,汐止區,87809,244291,2.8,87518,,239631,2.7,291,4660,16,Xizhi District,
,瑞芳區,13392,34267,2.6,13247,,32945,2.5,145,1322,9.1,Ruifang District,
,土城區,83680,257810,3.1,83197,,248849,3,483,8961,18.600000000000001,Tucheng District,
,蘆洲區,72541,223113,3.1,72466,,222333,3.1,75,780,10.4,Luzhou District,
,五股區,35569,105182,3,35114,,99852,2.8,455,5330,11.7,Wugu District,
,泰山區,29937,91279,3,29829,,86617,2.9,108,4662,43.2,Taishan District,
,林口區,49115,136414,2.8,48916,,131932,2.7,199,4482,22.5,Linkou District,
,深坑區,11384,33318,2.9,11347,,31919,2.8,37,1399,37.799999999999997,Shenkeng District,
,石碇區,1911,4887,2.6,1907,,4420,2.2999999999999998,4,467,116.8,Shiding District,
,坪林區,1170,2881,2.5,1166,,2865,2.5,4,16,4,Pinglin District,
,三芝區,8869,23844,2.7,8809,,21460,2.4,60,2384,39.700000000000003,Sanzhi District,
,石門區,2139,5352,2.5,2085,,4879,2.2999999999999998,54,473,8.8000000000000007,Shimen District,
,八里區,14263,42582,3,14074,,39961,2.8,189,2621,13.9,Bali District,
,平溪區,1222,2427,2,1220,,2423,2,2,4,2,Pingxi District,
,雙溪區,2015,4441,2.2000000000000002,2003,,4386,2.2000000000000002,12,55,4.5999999999999996,Shuangxi District,
,貢寮區,2941,6972,2.4,2888,,6564,2.2999999999999998,53,408,7.7,Gongliao District,
,金山區,5698,15500,2.7,5646,,14740,2.6,52,760,14.6,Jinshan District,
,萬里區,5572,15743,2.8,5452,,14522,2.7,120,1221,10.199999999999999,Wanli District,
,烏來區,1080,3364,3.1,1075,,3342,3.1,5,22,4.4000000000000004,Wulai District,
