,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 新北市普通住戶之戶內人口數,,Table 32 New Taipei City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 新北市普通住戶之戶內人口數,表３２,新北市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 New Taipei City Number of Persons of Ordinary Households,Table 32,New Taipei City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,新北市,1526303,388892,367639,328647,,280408,97016,63701,2.8,New Taipei City
,板橋區,209909,50740,51100,46120,,38672,14331,8946,2.8,Banqiao District
,三重區,150638,39031,35915,32263,,27346,9278,6805,2.8,Sanchong District
,中和區,167297,46427,41660,35666,,29147,9104,5293,2.7,Zhonghe District
,永和區,88159,24412,23401,19594,,13955,4648,2149,2.6,Yonghe District
,新莊區,149269,32683,33509,33905,,30569,11261,7342,2.9,Xinzhuang District
,新店區,119546,32275,29916,26693,,20201,6181,4280,2.7,Xindian District
,樹林區,61847,12845,13380,13404,,13281,4881,4056,3.1,Shulin District
,鶯歌區,30162,7496,7027,6074,,5687,2207,1671,2.9,Yingge District
,三峽區,41559,11838,10027,8104,,7064,2334,2192,2.7,Sanxia District
,淡水區,79958,26275,20410,14231,,12374,3895,2773,2.5,Danshui District
,汐止區,87518,22204,21387,20308,,15601,5456,2562,2.7,Xizhi District
,瑞芳區,13247,4627,3371,2310,,1547,863,529,2.5,Ruifang District
,土城區,83197,16750,18973,19428,,18153,5732,4161,3,Tucheng District
,蘆洲區,72466,14104,15290,15730,,17453,6286,3603,3.1,Luzhou District
,五股區,35114,8713,8291,7079,,6999,2514,1518,2.8,Wugu District
,泰山區,29829,6451,6831,7263,,5954,2056,1274,2.9,Taishan District
,林口區,48916,13553,12385,10314,,8190,2615,1859,2.7,Linkou District
,深坑區,11347,2785,2774,2393,,2249,734,412,2.8,Shenkeng District
,石碇區,1907,851,470,254,,169,89,74,2.2999999999999998,Shiding District
,坪林區,1166,447,364,155,,99,51,50,2.5,Pinglin District
,三芝區,8809,3393,2090,1407,,1089,449,381,2.4,Sanzhi District
,石門區,2085,770,603,351,,171,124,66,2.2999999999999998,Shimen District
,八里區,14074,3535,3586,2713,,2490,1036,714,2.8,Bali District
,平溪區,1220,689,279,114,,70,33,35,2,Pingxi District
,雙溪區,2003,910,590,258,,129,63,53,2.2000000000000002,Shuangxi District
,貢寮區,2888,1120,880,439,,257,96,96,2.2999999999999998,Gongliao District
,金山區,5646,1833,1513,946,,719,295,340,2.6,Jinshan District
,萬里區,5452,1780,1381,946,,651,338,356,2.7,Wanli District
,烏來區,1075,355,236,185,,122,66,111,3.1,Wulai District
