,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 新北市普通住戶之住宅所有權屬,,Table 34 New Taipei City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 新北市普通住戶之住宅所有權屬,表３４,新北市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 New Taipei City Home Ownership of Ordinary Households,Table 34,New Taipei City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,新北市,1524598,1161418,84222,,221157,57801,New Taipei City,,,,,,,,
,板橋區,209759,161582,10780,,28837,8560,Banqiao District,,,,,,,,
,三重區,150597,109991,8145,,26953,5508,Sanchong District,,,,,,,,
,中和區,167147,124469,9827,,26897,5954,Zhonghe District,,,,,,,,
,永和區,88021,67865,5231,,11124,3801,Yonghe District,,,,,,,,
,新莊區,149162,117045,7879,,19529,4709,Xinzhuang District,,,,,,,,
,新店區,119446,96546,6491,,12222,4187,Xindian District,,,,,,,,
,樹林區,61711,49312,3346,,7507,1546,Shulin District,,,,,,,,
,鶯歌區,30083,22750,2120,,3966,1247,Yingge District,,,,,,,,
,三峽區,41518,29176,2987,,7775,1580,Sanxia District,,,,,,,,
,淡水區,79909,59048,4303,,12991,3567,Danshui District,,,,,,,,
,汐止區,87428,68375,3831,,12558,2664,Xizhi District,,,,,,,,
,瑞芳區,13188,10618,1153,,730,687,Ruifang District,,,,,,,,
,土城區,83081,62457,3461,,14163,3000,Tucheng District,,,,,,,,
,蘆洲區,72422,55121,3967,,10898,2436,Luzhou District,,,,,,,,
,五股區,34996,26743,2242,,4974,1037,Wugu District,,,,,,,,
,泰山區,29767,22111,1479,,3471,2706,Taishan District,,,,,,,,
,林口區,48838,34105,2649,,10485,1599,Linkou District,,,,,,,,
,深坑區,11338,8617,696,,1618,407,Shenkeng District,,,,,,,,
,石碇區,1890,1443,114,,73,260,Shiding District,,,,,,,,
,坪林區,1162,947,61,,41,113,Pinglin District,,,,,,,,
,三芝區,8790,6735,435,,1335,285,Sanzhi District,,,,,,,,
,石門區,2068,1461,453,,26,128,Shimen District,,,,,,,,
,八里區,14060,10852,769,,1768,671,Bali District,,,,,,,,
,平溪區,1214,938,111,,64,101,Pingxi District,,,,,,,,
,雙溪區,1990,1618,146,,99,127,Shuangxi District,,,,,,,,
,貢寮區,2881,2292,339,,168,82,Gongliao District,,,,,,,,
,金山區,5631,4495,569,,223,344,Jinshan District,,,,,,,,
,萬里區,5446,3951,535,,568,392,Wanli District,,,,,,,,
,烏來區,1055,755,103,,94,103,Wulai District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
