,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 新北市住宅使用情形,,Table 37 New Taipei City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 新北市住宅使用情形,表３７,新北市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 New Taipei City Housing Usage Status,Table 37,New Taipei City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,新北市,1676933,1303213,373720,,75354,78778,219588,New Taipei City,,,,,
,板橋區,223048,179956,43092,,8603,5969,28520,Banqiao District,,,,,
,三重區,161364,125041,36323,,8637,10563,17123,Sanchong District,,,,,
,中和區,177203,147875,29328,,7038,5564,16726,Zhonghe District,,,,,
,永和區,90441,74669,15772,,3375,1917,10480,Yonghe District,,,,,
,新莊區,164345,126687,37658,,6347,14998,16313,Xinzhuang District,,,,,
,新店區,136554,108363,28191,,5645,1901,20645,Xindian District,,,,,
,樹林區,68368,51454,16914,,2241,9362,5311,Shulin District,,,,,
,鶯歌區,31963,25582,6381,,1326,2133,2922,Yingge District,,,,,
,三峽區,45232,34705,10527,,2500,684,7343,Sanxia District,,,,,
,淡水區,108523,72922,35601,,8329,1507,25765,Danshui District,,,,,
,汐止區,101659,76576,25083,,2670,4238,18175,Xizhi District,,,,,
,瑞芳區,15766,10166,5600,,1267,1284,3049,Ruifang District,,,,,
,土城區,86790,69967,16823,,2525,4439,9859,Tucheng District,,,,,
,蘆洲區,71829,59799,12030,,1779,5853,4398,Luzhou District,,,,,
,五股區,36446,27909,8537,,1022,2409,5106,Wugu District,,,,,
,泰山區,30690,25290,5400,,947,1597,2856,Taishan District,,,,,
,林口區,55280,40341,14939,,2708,2128,10103,Linkou District,,,,,
,深坑區,11052,8845,2207,,476,425,1306,Shenkeng District,,,,,
,石碇區,3014,1528,1486,,500,36,950,Shiding District,,,,,
,坪林區,2141,1008,1133,,613,211,309,Pinglin District,,,,,
,三芝區,12002,6816,5186,,2199,237,2750,Sanzhi District,,,,,
,石門區,2601,1249,1352,,598,93,661,Shimen District,,,,,
,八里區,15810,12018,3792,,476,162,3154,Bali District,,,,,
,平溪區,2018,1017,1001,,462,82,457,Pingxi District,,,,,
,雙溪區,3178,1767,1411,,755,98,558,Shuangxi District,,,,,
,貢寮區,3624,2388,1236,,725,75,436,Gongliao District,,,,,
,金山區,7295,4435,2860,,513,444,1903,Jinshan District,,,,,
,萬里區,7135,3983,3152,,887,261,2004,Wanli District,,,,,
,烏來區,1562,857,705,,191,108,406,Wulai District,,,,,
