,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 新北市住宅之樓地板面積,,Table 39 New Taipei City Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 新北市住宅之樓地板面積,表３９,新北市,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 New Taipei City Total Floor Area of Housing Units,Table 39,New Taipei City,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,新北市,1676933,271839,1084737,,239852,73674,6831,94.6,New Taipei City,,
,板橋區,223048,32702,154038,,30767,5407,134,89.9,Banqiao District,,
,三重區,161364,37078,101724,,17897,4560,105,85.4,Sanchong District,,
,中和區,177203,35570,118120,,19659,3625,229,86,Zhonghe District,,
,永和區,90441,12412,65018,,11356,1606,49,89.3,Yonghe District,,
,新莊區,164345,23692,110051,,25248,5096,258,93.6,Xinzhuang District,,
,新店區,136554,15542,86033,,25217,9094,668,104.2,Xindian District,,
,樹林區,68368,6384,40263,,15214,6157,350,110.9,Shulin District,,
,鶯歌區,31963,3454,19209,,6136,2801,363,108.6,Yingge District,,
,三峽區,45232,5430,26456,,8571,4302,473,109.6,Sanxia District,,
,淡水區,108523,23445,60048,,16520,7095,1415,99.3,Danshui District,,
,汐止區,101659,22998,62427,,12920,3045,269,88.8,Xizhi District,,
,瑞芳區,15766,4329,7953,,2159,1223,102,95.7,Ruifang District,,
,土城區,86790,12303,62927,,8816,2571,173,90.3,Tucheng District,,
,蘆洲區,71829,7288,55598,,7231,1647,65,92,Luzhou District,,
,五股區,36446,5311,23817,,6247,926,145,93.6,Wugu District,,
,泰山區,30690,2841,21984,,4733,1010,122,97.8,Taishan District,,
,林口區,55280,7381,31049,,9823,6207,820,110.7,Linkou District,,
,深坑區,11052,1169,7790,,1561,475,57,97.3,Shenkeng District,,
,石碇區,3014,641,1013,,664,600,96,128.1,Shiding District,,
,坪林區,2141,486,820,,454,345,36,116.6,Pinglin District,,
,三芝區,12002,4030,4913,,1560,1285,214,99.6,Sanzhi District,,
,石門區,2601,523,1037,,596,403,42,118.5,Shimen District,,
,八里區,15810,1558,10288,,2659,1144,161,107.3,Bali District,,
,平溪區,2018,672,790,,309,209,38,100.9,Pingxi District,,
,雙溪區,3178,623,1324,,603,537,91,121.7,Shuangxi District,,
,貢寮區,3624,646,1614,,611,694,59,121.4,Gongliao District,,
,金山區,7295,1027,4142,,1192,762,172,111.1,Jinshan District,,
,萬里區,7135,1909,3690,,871,600,65,93.7,Wanli District,,
,烏來區,1562,395,601,,258,248,60,120.2,Wulai District,,
