,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 新北市住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 新北市住宅之建築類型,表４０,新北市,住宅之建築類型
,Table 40 New Taipei City Type of Building,,,,,Table 40 Type of Building,Table 40 New Taipei City Type of Building,Table 40,New Taipei City,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,新北市,1676933,91825,783070,429861,372177,,,,
,New Taipei City,,,,,,,,,
,板橋區,223048,15473,121002,42702,43871,,,,
,Banqiao District,,,,,,,,,
,三重區,161364,6037,90801,41885,22641,,,,
,Sanchong District,,,,,,,,,
,中和區,177203,13696,90814,31669,41024,,,,
,Zhonghe District,,,,,,,,,
,永和區,90441,2397,49253,25953,12838,,,,
,Yonghe District,,,,,,,,,
,新莊區,164345,7015,78630,45275,33425,,,,
,Xinzhuang District,,,,,,,,,
,新店區,136554,6233,70387,26628,33306,,,,
,Xindian District,,,,,,,,,
,樹林區,68368,3454,29889,16049,18976,,,,
,Shulin District,,,,,,,,,
,鶯歌區,31963,2638,17558,9467,2300,,,,
,Yingge District,,,,,,,,,
,三峽區,45232,3134,14145,11699,16254,,,,
,Sanxia District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 新北市住宅之建築類型（續１）,,,,,表４０ 住宅之建築類型（續１）,表４０ 新北市住宅之建築類型（續１）,表４０,新北市,住宅之建築類型（續１）
,Table 40 New Taipei City Type of Building(Cont.1),,,,,Table 40 Type of Building(Cont.1),Table 40 New Taipei City Type of Building(Cont.1),Table 40,New Taipei City,Type of Building(Cont.1)
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,淡水區,108523,3833,35793,27507,41390,,,,
,Danshui District,,,,,,,,,
,汐止區,101659,3110,35444,28929,34176,,,,
,Xizhi District,,,,,,,,,
,瑞芳區,15766,2305,12386,1075,0,,,,
,Ruifang District,,,,,,,,,
,土城區,86790,2999,33168,28761,21862,,,,
,Tucheng District,,,,,,,,,
,蘆洲區,71829,1274,28505,32664,9386,,,,
,Luzhou District,,,,,,,,,
,五股區,36446,2926,13013,12905,7602,,,,
,Wugu District,,,,,,,,,
,泰山區,30690,2025,13003,10241,5421,,,,
,Taishan District,,,,,,,,,
,林口區,55280,2327,15174,18156,19623,,,,
,Linkou District,,,,,,,,,
,深坑區,11052,866,4472,4440,1274,,,,
,Shenkeng District,,,,,,,,,
,石碇區,3014,1422,1459,133,0,,,,
,Shiding District,,,,,,,,,
,坪林區,2141,1179,962,0,0,,,,
,Pinglin District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 新北市住宅之建築類型（續２）,,,,,表４０ 住宅之建築類型（續１）,表４０ 新北市住宅之建築類型（續１）,表４０,新北市,住宅之建築類型（續１）
,Table 40 New Taipei City Type of Building(Cont.2),,,,,Table 40 Type of Building(Cont.1),Table 40 New Taipei City Type of Building(Cont.1),Table 40,New Taipei City,Type of Building(Cont.1)
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,三芝區,12002,695,4179,6205,923,,,,
,Sanzhi District,,,,,,,,,
,石門區,2601,821,1746,34,0,,,,
,Shimen District,,,,,,,,,
,八里區,15810,727,4493,5320,5270,,,,
,Bali District,,,,,,,,,
,平溪區,2018,616,1402,0,0,,,,
,Pingxi District,,,,,,,,,
,雙溪區,3178,1086,2092,0,0,,,,
,Shuangxi District,,,,,,,,,
,貢寮區,3624,1409,2070,145,0,,,,
,Gongliao District,,,,,,,,,
,金山區,7295,808,4806,1530,151,,,,
,Jinshan District,,,,,,,,,
,萬里區,7135,615,5568,489,463,,,,
,Wanli District,,,,,,,,,
,烏來區,1562,705,856,0,1,,,,
,Wulai District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 新北市住宅之建築類型（續完）,,,,,表４０ 住宅之建築類型（續完）,表４０ 新北市住宅之建築類型（續完）,表４０,新北市,住宅之建築類型（續完）
,Table 40 New Taipei City Type of Building(End),,,,,Table 40 Type of Building(End),Table 40 New Taipei City Type of Building(End),Table 40,New Taipei City,Type of Building(End)
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,1676933,91825,783070,429861,372177,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,271839,19871,102222,70216,79530,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,1084737,54164,520274,286084,224215,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,239852,12145,111636,58891,57180,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,73674,4995,44359,13545,10775,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,6831,650,4579,1125,477,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,1676933,91825,783070,429861,372177,,,,
,Grand Total,,,,,,,,,
,６９年以前,496476,66969,410364,18902,241,,,,
,Before 1980,,,,,,,,,
,７０－７９年,318387,15010,233144,65201,5032,,,,
,1981-1990,,,,,,,,,
,８０－８９年,452429,4406,58832,219816,169375,,,,
,1991-2000,,,,,,,,,
,９０－９９年,232459,3091,30119,67751,131498,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,177182,2349,50611,58191,66031,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,89495,1836,28005,28175,31479,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,87687,513,22606,30016,34552,,,,
,2016-2020,,,,,,,,,
