,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表４１ 新北市空閒住宅之竣工年份,,Table 41 New Taipei City Completion Year of Vacant Housing Units,,,,,,表４１ 空閒住宅之竣工年份,表４１ 新北市空閒住宅之竣工年份,表４１,新北市,空閒住宅之竣工年份
,,,,,,,,,Table 41 Completion Year of Vacant Housing Units,Table 41 New Taipei City Completion Year of Vacant Housing Units,Table 41,New Taipei City,Completion Year of Vacant Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,
,,總 計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,新北市,294942,85615,46705,71839,,37672,53111,23327,29784,New Taipei City,,
,板橋區,37123,16324,6638,5211,,3346,5604,1828,3776,Banqiao District,,
,三重區,25760,10575,4387,5392,,2747,2659,1070,1589,Sanchong District,,
,中和區,23764,10342,3976,5833,,2001,1612,865,747,Zhonghe District,,
,永和區,13855,7050,1675,2756,,621,1753,414,1339,Yonghe District,,
,新莊區,22660,6048,4045,4617,,2009,5941,2967,2974,Xinzhuang District,,
,新店區,26290,6753,4768,6172,,3647,4950,2268,2682,Xindian District,,
,樹林區,7552,1667,1056,1826,,2562,441,215,226,Shulin District,,
,鶯歌區,4248,1662,546,1017,,456,567,154,413,Yingge District,,
,三峽區,9843,1589,1212,2921,,2273,1848,1065,783,Sanxia District,,
,淡水區,34094,4175,4440,7840,,6882,10757,5966,4791,Danshui District,,
,汐止區,20845,3149,3503,8862,,2062,3269,998,2271,Xizhi District,,
,瑞芳區,4316,2620,557,869,,131,139,101,38,Ruifang District,,
,土城區,12384,1764,2990,4670,,451,2509,595,1914,Tucheng District,,
,蘆洲區,6177,1048,1664,1885,,945,635,523,112,Luzhou District,,
,五股區,6128,876,1149,1049,,682,2372,821,1551,Wugu District,,
,泰山區,3803,1231,569,779,,875,349,264,85,Taishan District,,
,林口區,12811,782,706,1173,,4293,5857,2214,3643,Linkou District,,
,深坑區,1782,374,331,764,,168,145,102,43,Shenkeng District,,
,石碇區,1450,518,270,323,,237,102,93,9,Shiding District,,
,坪林區,922,579,57,74,,95,117,106,11,Pinglin District,,
,三芝區,4949,476,516,3808,,61,88,44,44,Sanzhi District,,
,石門區,1259,627,264,291,,40,37,24,13,Shimen District,,
,八里區,3630,535,257,1646,,430,762,300,462,Bali District,,
,平溪區,919,667,37,61,,113,41,31,10,Pingxi District,,
,雙溪區,1313,758,114,227,,148,66,32,34,Shuangxi District,,
,貢寮區,1161,820,78,152,,54,57,49,8,Gongliao District,,
,金山區,2416,824,299,852,,163,278,88,190,Jinshan District,,
,萬里區,2891,1532,542,697,,65,55,46,9,Wanli District,,
,烏來區,597,250,59,72,,115,101,84,17,Wulai District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、已售、  修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other thanthis house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,,
