,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 新北市空閒住宅之樓地板面積,,Table 42 New Taipei City Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 新北市空閒住宅之樓地板面積,表４２,新北市,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 New Taipei City Total Floor Area of Vacant Housing Units,Table 42,New Taipei City,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,新北市,294942,71575,167708,,38406,15726,1527,91.9,New Taipei City,,
,板橋區,37123,9573,22167,,4380,957,46,84.4,Banqiao District,,
,三重區,25760,7385,14887,,2850,625,13,82.1,Sanchong District,,
,中和區,23764,5927,14928,,2362,515,32,83,Zhonghe District,,
,永和區,13855,2814,9324,,1524,193,0,85.5,Yonghe District,,
,新莊區,22660,4445,14000,,3480,735,0,90,Xinzhuang District,,
,新店區,26290,4626,13976,,4431,3172,85,108.1,Xindian District,,
,樹林區,7552,996,4197,,1787,548,24,107,Shulin District,,
,鶯歌區,4248,916,2396,,590,283,63,97.7,Yingge District,,
,三峽區,9843,1959,5225,,1319,1177,163,108.1,Sanxia District,,
,淡水區,34094,11517,16657,,3460,1985,475,89.1,Danshui District,,
,汐止區,20845,5732,11266,,2952,776,119,88.9,Xizhi District,,
,瑞芳區,4316,1630,1938,,438,284,26,86.8,Ruifang District,,
,土城區,12384,2032,8141,,1628,534,49,95.2,Tucheng District,,
,蘆洲區,6177,853,4384,,742,185,13,92.5,Luzhou District,,
,五股區,6128,1215,3868,,856,174,15,90.3,Wugu District,,
,泰山區,3803,420,2855,,478,50,0,90.9,Taishan District,,
,林口區,12811,2470,6994,,2064,1190,93,104,Linkou District,,
,深坑區,1782,273,1083,,310,103,13,99,Shenkeng District,,
,石碇區,1450,384,489,,273,262,42,119.4,Shiding District,,
,坪林區,922,255,346,,182,132,7,108.6,Pinglin District,,
,三芝區,4949,2483,1533,,442,424,67,83.8,Sanzhi District,,
,石門區,1259,365,445,,239,198,12,111.3,Shimen District,,
,八里區,3630,501,2279,,536,294,20,103.2,Bali District,,
,平溪區,919,344,323,,140,99,13,97.4,Pingxi District,,
,雙溪區,1313,323,573,,225,161,31,108.7,Shuangxi District,,
,貢寮區,1161,291,446,,157,238,29,119,Gongliao District,,
,金山區,2416,518,1324,,328,209,37,101.1,Jinshan District,,
,萬里區,2891,1117,1450,,162,144,18,77.8,Wanli District,,
,烏來區,597,211,214,,71,79,22,104.7,Wulai District,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
