,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 新北市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 New Taipei City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 新北市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,新北市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 New Taipei City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,New Taipei City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,新北市,1303213,147091,615884,274730,265508,1.3,,377593,478573,343021,104026,0.5,New Taipei City
,板橋區,179956,23386,84839,36106,35625,1.3,,62933,62214,43171,11638,0.4,Banqiao District
,三重區,125041,17971,60529,24496,22045,1.2,,43068,44256,31075,6642,0.4,Sanchong District
,中和區,147875,14888,69111,33356,30520,1.4,,40793,55377,40119,11586,0.5,Zhonghe District
,永和區,74669,5522,33734,17690,17723,1.4,,19614,27503,21251,6301,0.5,Yonghe District
,新莊區,126687,16759,62827,23920,23181,1.2,,41132,48106,28911,8538,0.5,Xinzhuang District
,新店區,108363,7962,48402,25229,26770,1.5,,23790,40380,31461,12732,0.6,Xindian District
,樹林區,51454,6585,24899,10284,9686,1.2,,16307,19048,12403,3696,0.5,Shulin District
,鶯歌區,25582,2532,12492,5159,5399,1.3,,5774,10274,7023,2511,0.5,Yingge District
,三峽區,34705,4112,15969,7210,7414,1.3,,8503,12426,10029,3747,0.5,Sanxia District
,淡水區,72922,5984,31928,18690,16320,1.5,,14230,26102,25382,7208,0.6,Danshui District
,汐止區,76576,8003,35814,16529,16230,1.4,,21816,27429,20929,6402,0.5,Xizhi District
,瑞芳區,10166,1286,3665,2273,2942,1.3,,2859,3047,3246,1014,0.5,Ruifang District
,土城區,69967,8745,36830,13333,11059,1.2,,24427,26101,15902,3537,0.4,Tucheng District
,蘆洲區,59799,8047,31710,10953,9089,1.2,,17472,25095,13055,4177,0.5,Luzhou District
,五股區,27909,3543,13402,5362,5602,1.2,,7497,10961,6886,2565,0.5,Wugu District
,泰山區,25290,2865,12827,5072,4526,1.3,,7572,10038,5697,1983,0.5,Taishan District
,林口區,40341,3843,18926,8530,9042,1.3,,8615,15072,11852,4802,0.5,Linkou District
,深坑區,8845,864,4108,1969,1904,1.2,,2276,3357,2299,913,0.5,Shenkeng District
,石碇區,1528,146,508,380,494,1.6,,340,431,572,185,0.6,Shiding District
,坪林區,1008,101,323,245,339,1.6,,222,288,369,129,0.6,Pinglin District
,三芝區,6816,606,2704,1758,1748,1.3,,1214,2048,2691,863,0.5,Sanzhi District
,石門區,1249,171,397,306,375,1.2,,353,356,437,103,0.4,Shimen District
,八里區,12018,1490,5236,2479,2813,1.3,,2878,4390,3274,1476,0.5,Bali District
,平溪區,1017,80,256,286,395,1.9,,194,263,454,106,0.6,Pingxi District
,雙溪區,1767,117,427,447,776,2,,286,518,728,235,0.7,Shuangxi District
,貢寮區,2388,195,659,638,896,1.7,,504,705,945,234,0.6,Gongliao District
,金山區,4435,546,1623,996,1270,1.4,,1362,1360,1328,385,0.5,Jinshan District
,萬里區,3983,530,1462,857,1134,1.2,,1232,1224,1281,246,0.4,Wanli District
,烏來區,857,212,277,177,191,1.1000000000000001,,330,204,251,72,0.4,Wulai District
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 新北市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 New Taipei City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 新北市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,新北市,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 New Taipei City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,New Taipei City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,1303213,147091,615884,274730,265508,1.3,,377593,478573,343021,104026,0.5,Grand Total
,未滿６０平方公尺,187203,28056,76321,44749,38077,1.1000000000000001,,49863,53347,80829,3164,0.4,Under 60 Square Meters
,６０－未滿１２０平方公尺,866460,89448,426919,177958,172135,1.3,,262542,333303,198851,71764,0.5,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,191507,21503,87987,40346,41671,1.4,,49893,72544,47097,21973,0.5,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,53302,7133,22453,10927,12789,1.4,,13457,17831,15340,6674,0.6,180-Under 300 Square Meters
,３００平方公尺以上,4741,951,2204,750,836,1.2,,1838,1548,904,451,0.5,300 Square Meters and More
