,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新竹市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 新竹市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,新竹市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Hsinchu City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Hsinchu City,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,新竹市,242031,153150,42429,46452,,,
,Hsinchu City,,,,,,,
,東 區,120966,94277,4230,22459,,,
,East District,,,,,,,
,北 區,73888,36946,21943,14999,,,
,North District,,,,,,,
,香山區,47177,21927,16256,8994,,,
,Xiangshan District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新竹市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４ 新竹市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）,表１４,新竹市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續１）
,Table 14 Hsinchu City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Hsinchu City,0
,Civilian Resident Population Aged 15 Years and Over(Cont.1),,,(2)男性,,,,
,(2)男性 (2)Male,,,(2)Male,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,新竹市,134261,85959,21259,27043,,,
,Hsinchu City,,,,,,,
,東 區,67830,53381,1723,12726,,,
,East District,,,,,,,
,北 區,40125,19232,11715,9178,,,
,North District,,,,,,,
,香山區,26306,13346,7821,5139,,,
,Xiangshan District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新竹市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４ 新竹市１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）,表１４,新竹市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況（續完）
,Table 14 Hsinchu City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Hsinchu City,0
,Civilian Resident Population Aged 15 Years and Over(End),,,(3)女性,,,,
,(3)女性 (3)Female,,,(3)Female,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,新竹市,107770,67191,21170,19409,,,
,Hsinchu City,,,,,,,
,東 區,53136,40896,2507,9733,,,
,East District,,,,,,,
,北 區,33763,17714,10228,5821,,,
,North District,,,,,,,
,香山區,20871,8581,8435,3855,,,
,Xiangshan District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
