,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 新竹市５歲以上常住人口遷徙情形,,Table 20 Hsinchu City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 新竹市５歲以上常住人口遷徙情形,表２０,新竹市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Hsinchu City Migration Status of the Resident Population,Table 20,Hsinchu City,Migration Status of the Resident Population
,,,,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,新竹市,460325,329325,54932,,15198,53963,6907,Hsinchu City
,東 區,228340,154627,30132,,3424,35111,5046,East District
,北 區,143769,107587,18302,,6571,10458,851,North District
,香山區,88216,67111,6498,,5203,8394,1010,Xiangshan District
,男,233830,164840,28472,,7513,29206,3799,Male
,東 區,116940,76802,16304,,1673,19267,2894,East District
,北 區,71952,53393,9056,,3269,5819,415,North District
,香山區,44938,34645,3112,,2571,4120,490,Xiangshan District
,女,226495,164485,26460,,7685,24757,3108,Female
,東 區,111400,77825,13828,,1751,15844,2152,East District
,北 區,71817,54194,9246,,3302,4639,436,North District
,香山區,43278,32466,3386,,2632,4274,520,Xiangshan District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
