,,民國109年,,,,,2020,,,,,,
,表３１ 新竹市住戶數、常住人口數及平均每戶人口數,,"Table 31 Hsinchu City Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 新竹市住戶數、常住人口數及平均每戶人口數,表３１,新竹市,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Hsinchu City Number of Households, Resident Population and Average",Table 31,Hsinchu City,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,新竹市,168545,499468,3,168124,,463574,2.8,421,35894,85.3,Hsinchu City,
,東 區,86412,249873,2.9,86288,,225680,2.6,124,24193,195.1,East District,
,北 區,52600,153427,2.9,52483,,148501,2.8,117,4926,42.1,North District,
,香山區,29533,96168,3.3,29353,,89393,3,180,6775,37.6,Xiangshan District,
