,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 新竹市普通住戶之戶內人口數,,Table 32 Hsinchu City Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 新竹市普通住戶之戶內人口數,表３２,新竹市,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Hsinchu City Number of Persons of Ordinary Households,Table 32,Hsinchu City,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,新竹市,168124,47601,38307,34684,,29787,10135,7610,2.8,Hsinchu City
,東 區,86288,27910,19487,16910,,14496,4258,3227,2.6,East District
,北 區,52483,13000,12586,11675,,9463,3355,2404,2.8,North District
,香山區,29353,6691,6234,6099,,5828,2522,1979,3,Xiangshan District
