,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 新竹市普通住戶之家戶型態,,Table 33 Hsinchu City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 新竹市普通住戶之家戶型態,表３３,新竹市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Hsinchu City Family Household Type of Ordinary Households,Table 33,Hsinchu City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,新竹市,168124,87606,20221,57353,10032,22640,,14902,5968,1770,47601,10277,7534,2743,Hsinchu City
,東 區,86288,43636,10474,28711,4451,9828,,6414,2600,814,27910,4914,3225,1689,East District
,北 區,52483,28154,6549,17851,3754,7954,,5067,2190,697,13000,3375,2635,740,North District
,香山區,29353,15816,3198,10791,1827,4858,,3421,1178,259,6691,1988,1674,314,Xiangshan District
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,168124,87606,20221,57353,10032,22640,,14902,5968,1770,47601,10277,7534,2743,Grand Total
,未滿２５歲,4275,472,142,211,119,95,,42,7,46,3036,672,223,449,Under 25 Years
,２５－３４歲,19533,6642,1922,4034,686,456,,277,156,23,11095,1340,744,596,25-34 Years
,３５－４４歲,37823,24843,3682,19350,1811,2194,,1632,531,31,9290,1496,1203,293,35-44 Years
,４５－５４歲,37066,24919,3936,18198,2785,2937,,2232,686,19,8007,1203,977,226,45-54 Years
,５５－６４歲,33080,17481,4387,10891,2203,6356,,4142,1918,296,7463,1780,1543,237,55-64 Years
,６５歲以上,36347,13249,6152,4669,2428,10602,,6577,2670,1355,8710,3786,2844,942,65 Years and Over
,男,98958,54736,14357,37267,3112,13704,,9182,3631,891,25017,5501,4299,1202,Male
,未滿２５歲,2479,284,76,137,71,79,,26,7,46,1647,469,164,305,Under 25 Years
,２５－３４歲,12481,4081,1293,2393,395,278,,161,104,13,7339,783,444,339,25-34 Years
,３５－４４歲,22482,14682,2474,11658,550,1588,,1135,422,31,5316,896,769,127,35-44 Years
,４５－５４歲,22142,15440,2743,11707,990,2001,,1565,436,0,4043,658,573,85,45-54 Years
,５５－６４歲,19711,11277,3025,7725,527,3878,,2546,1190,142,3613,943,832,111,55-64 Years
,６５歲以上,19663,8972,4746,3647,579,5880,,3749,1472,659,3059,1752,1517,235,65 Years and Over
,女,69166,32870,5864,20086,6920,8936,,5720,2337,879,22584,4776,3235,1541,Female
,未滿２５歲,1796,188,66,74,48,16,,16,0,0,1389,203,59,144,Under 25 Years
,２５－３４歲,7052,2561,629,1641,291,178,,116,52,10,3756,557,300,257,25-34 Years
,３５－４４歲,15341,10161,1208,7692,1261,606,,497,109,0,3974,600,434,166,35-44 Years
,４５－５４歲,14924,9479,1193,6491,1795,936,,667,250,19,3964,545,404,141,45-54 Years
,５５－６４歲,13369,6204,1362,3166,1676,2478,,1596,728,154,3850,837,711,126,55-64 Years
,６５歲以上,16684,4277,1406,1022,1849,4722,,2828,1198,696,5651,2034,1327,707,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
