,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 新竹市普通住戶之住宅所有權屬,,Table 34 Hsinchu City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 新竹市普通住戶之住宅所有權屬,表３４,新竹市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Hsinchu City Home Ownership of Ordinary Households,Table 34,Hsinchu City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,新竹市,166839,127210,8072,,23821,7736,Hsinchu City,,,,,,,,
,東 區,85215,62037,4000,,15932,3246,East District,,,,,,,,
,北 區,52342,41306,2460,,5359,3217,North District,,,,,,,,
,香山區,29282,23867,1612,,2530,1273,Xiangshan District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
