,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 新竹市住宅使用情形,,Table 37 Hsinchu City Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 新竹市住宅使用情形,表３７,新竹市,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Hsinchu City Housing Usage Status,Table 37,Hsinchu City,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,新竹市,181086,137935,43151,,10701,7216,25234,Hsinchu City,,,,,
,東 區,89088,65590,23498,,7051,5083,11364,East District,,,,,
,北 區,63554,49790,13764,,1998,1120,10646,North District,,,,,
,香山區,28444,22555,5889,,1652,1013,3224,Xiangshan District,,,,,
