,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 新竹市住宅之樓地板面積,,Table 39 Hsinchu City Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 新竹市住宅之樓地板面積,表３９,新竹市,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Hsinchu City Total Floor Area of Housing Units,Table 39,Hsinchu City,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,新竹市,181086,18635,80999,,47446,30933,3073,128.19999999999999,Hsinchu City,,
,東 區,89088,10372,41238,,21636,14260,1582,125,East District,,
,北 區,63554,5527,29980,,16599,10583,865,127.8,North District,,
,香山區,28444,2736,9781,,9211,6090,626,139.30000000000001,Xiangshan District,,
