,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 新竹市有人經常居住住宅之使用情形,,Table 43 Hsinchu City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 新竹市有人經常居住住宅之使用情形,表４３,新竹市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Hsinchu City Housing Usage of Occupied Housing Units,Table 43,Hsinchu City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,新竹市,137935,131921,6014,,503,5473,38,Hsinchu City,,,,,,,
,東 區,65590,62730,2860,,93,2757,10,East District,,,,,,,
,北 區,49790,47275,2515,,217,2298,0,North District,,,,,,,
,香山區,22555,21916,639,,193,418,28,Xiangshan District,,,,,,,
