,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 新竹市有人經常居住住宅之居住人數,,Table 44 Hsinchu City Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 新竹市有人經常居住住宅之居住人數,表４４,新竹市,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Hsinchu City Number of Persons of Occupied Housing Units,Table 44,Hsinchu City,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,新竹市,137935,30693,31557,29689,,26630,9776,9590,3.3,Hsinchu City,,,
,東 區,65590,16056,14913,13685,,12630,4137,4169,3.4,East District,,,
,北 區,49790,10271,11991,11444,,9385,3493,3206,3,North District,,,
,香山區,22555,4366,4653,4560,,4615,2146,2215,4,Xiangshan District,,,
