,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 新竹市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Hsinchu City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 新竹市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,新竹市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Hsinchu City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Hsinchu City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,新竹市,137935,13214,63298,30932,30491,1.4,,23377,54325,42227,18006,0.6,Hsinchu City
,東 區,65590,5803,29622,15038,15127,1.4,,10671,25628,20412,8879,0.6,East District
,北 區,49790,4595,22925,11303,10967,1.6,,8520,20030,14548,6692,0.7,North District
,香山區,22555,2816,10751,4591,4397,1.2,,4186,8667,7267,2435,0.6,Xiangshan District
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,137935,13214,63298,30932,30491,1.4,,23377,54325,42227,18006,0.6,Grand Total
,未滿６０平方公尺,11029,1748,4535,3303,1443,0.9,,2031,2777,5962,259,0.4,Under 60 Square Meters
,６０－未滿１２０平方公尺,61472,4714,28239,13560,14959,1.4,,10900,25252,16567,8753,0.6,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,38153,3571,17997,8488,8097,1.4,,5890,16264,11089,4910,0.6,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,25053,2831,11359,5245,5618,1.4,,3970,9263,7943,3877,0.7,180-Under 300 Square Meters
,３００平方公尺以上,2228,350,1168,336,374,1.3,,586,769,666,207,0.6,300 Square Meters and More
