,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 新竹縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 新竹縣１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,新竹縣,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Hsinchu County Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Hsinchu County,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,新竹縣,307233,149547,63976,93710,,,
,Hsinchu County,,,,,,,
,竹北市,118662,63034,14987,40641,,,
,Zhubei City,,,,,,,
,竹東鎮,52718,23534,9410,19774,,,
,Zhudong Township,,,,,,,
,新埔鎮,15611,5295,6177,4139,,,
,Xinpu Township,,,,,,,
,關西鎮,12788,5293,3605,3890,,,
,Guanxi Township,,,,,,,
,湖口鄉,43399,27976,7434,7989,,,
,Hukou Township,,,,,,,
,新豐鄉,30553,12388,12768,5397,,,
,Xinfeng Township,,,,,,,
,芎林鄉,11197,2915,4542,3740,,,
,Qionglin Township,,,,,,,
,橫山鄉,4828,1623,1950,1255,,,
,Hengshan Township,,,,,,,
,北埔鄉,3711,1186,1188,1337,,,
,Beipu Township,,,,,,,
,寶山鄉,8750,3141,1066,4543,,,
,Baoshan Township,,,,,,,
,峨眉鄉,2035,973,343,719,,,
,Emei Township,,,,,,,
,尖石鄉,2221,1672,353,196,,,
,Jianshi Township,,,,,,,
,五峰鄉,760,517,153,90,,,
,Wufeng Township,,,,,,,
