,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 新竹縣５歲以上常住人口遷徙情形,,Table 20 Hsinchu County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 新竹縣５歲以上常住人口遷徙情形,表２０,新竹縣,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Hsinchu County Migration Status of the Resident Population,Table 20,Hsinchu County,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,新竹縣,571914,426302,62121,,21942,56015,5534,Hsinchu County
,竹北市,204542,134622,30938,,7786,28842,2354,Zhubei City
,竹東鎮,98955,78911,9875,,2784,7003,382,Zhudong Township
,新埔鎮,32808,26497,1909,,1878,2437,87,Xinpu Township
,關西鎮,27615,24573,1296,,429,1194,123,Guanxi Township
,湖口鄉,83385,58861,11817,,3683,7678,1346,Hukou Township
,新豐鄉,59435,47665,3819,,2396,4607,948,Xinfeng Township
,芎林鄉,20609,16464,1037,,1700,1240,168,Qionglin Township
,橫山鄉,10995,9634,283,,465,591,22,Hengshan Township
,北埔鄉,7399,6866,172,,186,166,9,Beipu Township
,寶山鄉,15926,12978,653,,299,1925,71,Baoshan Township
,峨眉鄉,3801,3560,61,,76,88,16,Emei Township
,尖石鄉,4676,4119,201,,170,179,7,Jianshi Township
,五峰鄉,1768,1552,60,,90,65,1,Wufeng Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 新竹縣５歲以上常住人口遷徙情形（續１）,,Table 20 Hsinchu County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 新竹縣５歲以上常住人口遷徙情形（續１）,表２０,新竹縣,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Hsinchu County Migration Status of the Resident Population,Table 20,Hsinchu County,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,新竹縣,294781,221455,31221,,10763,28948,2394,Hsinchu County
,竹北市,101978,67701,15626,,3724,13807,1120,Zhubei City
,竹東鎮,50150,40276,4905,,1270,3571,128,Zhudong Township
,新埔鎮,17524,14097,912,,944,1548,23,Xinpu Township
,關西鎮,15885,14143,729,,228,734,51,Guanxi Township
,湖口鄉,44175,31552,5943,,1971,4290,419,Hukou Township
,新豐鄉,30843,24585,1918,,1168,2621,551,Xinfeng Township
,芎林鄉,10617,8667,477,,809,592,72,Qionglin Township
,橫山鄉,5755,5010,155,,227,355,8,Hengshan Township
,北埔鄉,3836,3617,68,,96,51,4,Beipu Township
,寶山鄉,8644,6919,337,,160,1220,8,Baoshan Township
,峨眉鄉,2007,1888,30,,39,43,7,Emei Township
,尖石鄉,2428,2168,88,,87,83,2,Jianshi Township
,五峰鄉,939,832,33,,40,33,1,Wufeng Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 新竹縣５歲以上常住人口遷徙情形（續完）,,Table 20 Hsinchu County Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續２）,表２０ 新竹縣５歲以上常住人口遷徙情形（續２）,表２０,新竹縣,５歲以上常住人口遷徙情形（續２）
,,,Aged 5 Years and Over(End),,Table 20 Migration Status of the Resident Population,Table 20 Hsinchu County Migration Status of the Resident Population,Table 20,Hsinchu County,Migration Status of the Resident Population
,(3)女性,,(3)Female,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,新竹縣,277133,204847,30900,,11179,27067,3140,Hsinchu County
,竹北市,102564,66921,15312,,4062,15035,1234,Zhubei City
,竹東鎮,48805,38635,4970,,1514,3432,254,Zhudong Township
,新埔鎮,15284,12400,997,,934,889,64,Xinpu Township
,關西鎮,11730,10430,567,,201,460,72,Guanxi Township
,湖口鄉,39210,27309,5874,,1712,3388,927,Hukou Township
,新豐鄉,28592,23080,1901,,1228,1986,397,Xinfeng Township
,芎林鄉,9992,7797,560,,891,648,96,Qionglin Township
,橫山鄉,5240,4624,128,,238,236,14,Hengshan Township
,北埔鄉,3563,3249,104,,90,115,5,Beipu Township
,寶山鄉,7282,6059,316,,139,705,63,Baoshan Township
,峨眉鄉,1794,1672,31,,37,45,9,Emei Township
,尖石鄉,2248,1951,113,,83,96,5,Jianshi Township
,五峰鄉,829,720,27,,50,32,0,Wufeng Township
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
