,,民國109年,,,,,2020,,,,,,
,表３１ 新竹縣住戶數、常住人口數及平均每戶人口數,,"Table 31 Hsinchu County Number of Households, Resident Population and Average",,,,,,表３１ 住戶數、常住人口數及平均每戶人口數,表３１ 新竹縣住戶數、常住人口數及平均每戶人口數,表３１,新竹縣,住戶數、常住人口數及平均每戶人口數
,,,Number of Persons Per Household,,,,,,"Table 31 Number of Households, Resident Population and Average","Table 31 Hsinchu County Number of Households, Resident Population and Average",Table 31,Hsinchu County,"Number of Households, Resident Population and Average"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,民國109年11月,,November 2020,,,,,,,,,,
,,總 計Grand total,普通住戶,,Ordinary households,非普通住戶Group quarters,,,,,,,
,,,,,,,,,,,,,
,,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,,常住人口數（人）,平均每戶人口數（人 / 戶）,戶  數（戶）,常住人口數（人）,平均每戶人口數（人 / 戶）,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Number of households (household),Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),,Number ofresident population(person),Average number ofpersons per household(person/household),Number of households(household),Number ofresident population(person),Average number ofpersons per household(person/household),,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,By Township/City/District,
,新竹縣,198281,633163,3.2,195444,,584482,3,2837,48681,17.2,Hsinchu County,
,竹北市,75533,223017,3,74917,,217865,2.9,616,5152,8.4,Zhubei City,
,竹東鎮,34072,106287,3.1,33954,,100965,3,118,5322,45.1,Zhudong Township,
,新埔鎮,10240,36085,3.5,10109,,32607,3.2,131,3478,26.5,Xinpu Township,
,關西鎮,8601,29693,3.5,8568,,26477,3.1,33,3216,97.5,Guanxi Township,
,湖口鄉,27250,99774,3.7,26581,,80385,3,669,19389,29,Hukou Township,
,新豐鄉,19513,65910,3.4,18450,,57940,3.1,1063,7970,7.5,Xinfeng Township,
,芎林鄉,6914,22154,3.2,6879,,21544,3.1,35,610,17.399999999999999,Qionglin Township,
,橫山鄉,3768,11885,3.2,3733,,11412,3.1,35,473,13.5,Hengshan Township,
,北埔鄉,2469,7836,3.2,2464,,7809,3.2,5,27,5.4,Beipu Township,
,寶山鄉,5901,19410,3.3,5791,,16468,2.8,110,2942,26.7,Baoshan Township,
,峨眉鄉,1355,4112,3,1344,,4073,3,11,39,3.5,Emei Township,
,尖石鄉,1849,5116,2.8,1840,,5058,2.7,9,58,6.4,Jianshi Township,
,五峰鄉,816,1884,2.2999999999999998,814,,1879,2.2999999999999998,2,5,2.5,Wufeng Township,
