,單位：戶,民國109年,,,,,2020,Unit:Household,,,
,表３２ 新竹縣普通住戶之戶內人口數,,Table 32 Hsinchu County Number of Persons of Ordinary Households,,表３２ 普通住戶之戶內人口數,表３２ 新竹縣普通住戶之戶內人口數,表３２,新竹縣,普通住戶之戶內人口數,,
,,,,,Table 32 Number of Persons of Ordinary Households,Table 32 Hsinchu County Number of Persons of Ordinary Households,Table 32,Hsinchu County,Number of Persons of Ordinary Households,,
,,,,,,,,,,,
,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每戶人口數（人 / 戶）,
,,,,,,,,,,,
,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Average number ofpersons per household(person/household),
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District
,新竹縣,195444,45970,43345,40874,,38478,13856,12921,3,Hsinchu County
,竹北市,74917,17140,16733,17346,,16517,3996,3185,2.9,Zhubei City
,竹東鎮,33954,8209,7790,6712,,6324,2438,2481,3,Zhudong Township
,新埔鎮,10109,2040,2286,1928,,1777,981,1097,3.2,Xinpu Township
,關西鎮,8568,2154,1859,1620,,1361,730,844,3.1,Guanxi Township
,湖口鄉,26581,6040,5767,5392,,5377,2281,1724,3,Hukou Township
,新豐鄉,18450,4174,3578,3769,,3742,1583,1604,3.1,Xinfeng Township
,芎林鄉,6879,1662,1464,1344,,1114,557,738,3.1,Qionglin Township
,橫山鄉,3733,902,953,646,,512,340,380,3.1,Hengshan Township
,北埔鄉,2464,600,574,414,,337,269,270,3.2,Beipu Township
,寶山鄉,5791,1609,1337,1099,,1046,431,269,2.8,Baoshan Township
,峨眉鄉,1344,411,336,234,,149,98,116,3,Emei Township
,尖石鄉,1840,674,450,260,,164,119,173,2.7,Jianshi Township
,五峰鄉,814,355,218,110,,58,33,40,2.2999999999999998,Wufeng Township
