,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 新竹縣普通住戶之家戶型態,,Table 33 Hsinchu County Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 新竹縣普通住戶之家戶型態,表３３,新竹縣,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Hsinchu County Family Household Type of Ordinary Households,Table 33,Hsinchu County,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,新竹縣,195444,105317,24742,69168,11407,31816,,21434,8091,2291,45970,12341,10473,1868,Hsinchu County
,竹北市,74917,46802,10091,32930,3781,7705,,5522,1620,563,17140,3270,2546,724,Zhubei City
,竹東鎮,33954,17127,4400,10571,2156,6242,,4219,1681,342,8209,2376,2072,304,Zhudong Township
,新埔鎮,10109,4483,1209,2594,680,2624,,1757,709,158,2040,962,839,123,Xinpu Township
,關西鎮,8568,3601,1088,1967,546,2023,,1367,495,161,2154,790,679,111,Guanxi Township
,湖口鄉,26581,14139,2911,9437,1791,4729,,3101,1262,366,6040,1673,1495,178,Hukou Township
,新豐鄉,18450,9214,1963,6124,1127,3755,,2406,1041,308,4174,1307,1201,106,Xinfeng Township
,芎林鄉,6879,3206,879,1938,389,1494,,1029,347,118,1662,517,442,75,Qionglin Township
,橫山鄉,3733,1467,506,728,233,952,,644,223,85,902,412,338,74,Hengshan Township
,北埔鄉,2464,939,314,490,135,669,,473,143,53,600,256,222,34,Beipu Township
,寶山鄉,5791,2828,787,1739,302,948,,541,353,54,1609,406,323,83,Baoshan Township
,峨眉鄉,1344,487,216,209,62,305,,176,109,20,411,141,111,30,Emei Township
,尖石鄉,1840,725,247,328,150,283,,161,82,40,674,158,138,20,Jianshi Township
,五峰鄉,814,299,131,113,55,87,,38,26,23,355,73,67,6,Wufeng Township
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 新竹縣普通住戶之家戶型態（續）,,Table 33 Hsinchu County Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 新竹縣普通住戶之家戶型態（續）,表３３,新竹縣,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Hsinchu County Family Household Type of Ordinary Households(Cont.),Table 33,Hsinchu County,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,195444,105317,24742,69168,11407,31816,,21434,8091,2291,45970,12341,10473,1868,Grand Total
,未滿２５歲,2522,418,66,226,126,46,,20,8,18,1783,275,236,39,Under 25 Years
,２５－３４歲,17821,8804,3120,4920,764,840,,520,259,61,7017,1160,863,297,25-34 Years
,３５－４４歲,44605,30408,3987,24121,2300,2452,,1948,433,71,10167,1578,1240,338,35-44 Years
,４５－５４歲,45517,29843,4716,21618,3509,4652,,3451,1143,58,9202,1820,1610,210,45-54 Years
,５５－６４歲,39949,21056,5499,12986,2571,8187,,5247,2389,551,8089,2617,2382,235,55-64 Years
,６５歲以上,45030,14788,7354,5297,2137,15639,,10248,3859,1532,9712,4891,4142,749,65 Years and Over
,男,123876,70566,18169,48358,4039,20648,,14178,5186,1284,25038,7624,6778,846,Male
,未滿２５歲,1418,250,56,139,55,28,,10,8,10,956,184,167,17,Under 25 Years
,２５－３４歲,11417,5552,2069,3105,378,612,,375,179,58,4573,680,524,156,25-34 Years
,３５－４４歲,27692,18864,2776,15236,852,1811,,1461,288,62,6051,966,831,135,35-44 Years
,４５－５４歲,29006,19515,3195,15216,1104,3368,,2598,739,31,4856,1267,1157,110,45-54 Years
,５５－６４歲,26059,15015,3975,10066,974,5103,,3266,1589,248,4167,1774,1644,130,55-64 Years
,６５歲以上,28284,11370,6098,4596,676,9726,,6468,2383,875,4435,2753,2455,298,65 Years and Over
,女,71568,34751,6573,20810,7368,11168,,7256,2905,1007,20932,4717,3695,1022,Female
,未滿２５歲,1104,168,10,87,71,18,,10,0,8,827,91,69,22,Under 25 Years
,２５－３４歲,6404,3252,1051,1815,386,228,,145,80,3,2444,480,339,141,25-34 Years
,３５－４４歲,16913,11544,1211,8885,1448,641,,487,145,9,4116,612,409,203,35-44 Years
,４５－５４歲,16511,10328,1521,6402,2405,1284,,853,404,27,4346,553,453,100,45-54 Years
,５５－６４歲,13890,6041,1524,2920,1597,3084,,1981,800,303,3922,843,738,105,55-64 Years
,６５歲以上,16746,3418,1256,701,1461,5913,,3780,1476,657,5277,2138,1687,451,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
