,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 新竹縣普通住戶之住宅所有權屬,,Table 34 Hsinchu County Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 新竹縣普通住戶之住宅所有權屬,表３４,新竹縣,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Hsinchu County Home Ownership of Ordinary Households,Table 34,Hsinchu County,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,新竹縣,194091,164260,9811,,12100,7920,Hsinchu County,,,,,,,,
,竹北市,74780,62816,3467,,6265,2232,Zhubei City,,,,,,,,
,竹東鎮,33878,28665,1654,,1929,1630,Zhudong Township,,,,,,,,
,新埔鎮,10092,8885,692,,168,347,Xinpu Township,,,,,,,,
,關西鎮,8557,7440,468,,361,288,Guanxi Township,,,,,,,,
,湖口鄉,26502,22495,1007,,1515,1485,Hukou Township,,,,,,,,
,新豐鄉,17574,15458,699,,662,755,Xinfeng Township,,,,,,,,
,芎林鄉,6876,5574,394,,602,306,Qionglin Township,,,,,,,,
,橫山鄉,3696,3116,321,,102,157,Hengshan Township,,,,,,,,
,北埔鄉,2455,2089,206,,69,91,Beipu Township,,,,,,,,
,寶山鄉,5705,4589,439,,312,365,Baoshan Township,,,,,,,,
,峨眉鄉,1337,1109,133,,34,61,Emei Township,,,,,,,,
,尖石鄉,1830,1401,268,,66,95,Jianshi Township,,,,,,,,
,五峰鄉,809,623,63,,15,108,Wufeng Township,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
