,民國109年,單位：宅,,,,,2020,Unit:Housing unit,,,,,,
,表３７ 新竹縣住宅使用情形,,Table 37 Hsinchu County Housing Usage Status,,,,,,,表３７ 住宅使用情形,表３７ 新竹縣住宅使用情形,表３７,新竹縣,住宅使用情形
,,,,,,,,,,Table 37 Housing Usage Status,Table 37 Hsinchu County Housing Usage Status,Table 37,Hsinchu County,Housing Usage Status
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,,
,,總計,有人經常居住住宅,,,無人經常居住住宅  Unoccupied (for other uses or vacant),,,,,,,,
,,,,,,,,,,,,,,
,,合計,,偶爾自住,自住以外用途（如辦公室、倉庫等）,目前沒有使用,,,,,,,,
,,,,,,,,,,,,,,
,,Grand total,Occupied,,,,,,,,,,,
,,Total,,Owner occupiedsometimes,Unoccupied butfor other uses,Not in use now,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,
,新竹縣,209074,158504,50570,,11950,8056,30564,Hsinchu County,,,,,
,竹北市,76852,60049,16803,,3021,3420,10362,Zhubei City,,,,,
,竹東鎮,34731,27345,7386,,1650,1144,4592,Zhudong Township,,,,,
,新埔鎮,11674,9288,2386,,518,258,1610,Xinpu Township,,,,,
,關西鎮,9426,6808,2618,,732,370,1516,Guanxi Township,,,,,
,湖口鄉,30787,21986,8801,,1375,1242,6184,Hukou Township,,,,,
,新豐鄉,20114,14738,5376,,2436,820,2120,Xinfeng Township,,,,,
,芎林鄉,7042,5607,1435,,464,265,706,Qionglin Township,,,,,
,橫山鄉,4070,2850,1220,,285,91,844,Hengshan Township,,,,,
,北埔鄉,3023,2030,993,,292,106,595,Beipu Township,,,,,
,寶山鄉,5880,4442,1438,,366,81,991,Baoshan Township,,,,,
,峨眉鄉,1984,1201,783,,261,42,480,Emei Township,,,,,
,尖石鄉,2248,1510,738,,344,212,182,Jianshi Township,,,,,
,五峰鄉,1243,650,593,,206,5,382,Wufeng Township,,,,,
