,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,
,表３８ 新竹縣住宅之竣工年份,,Table 38 Hsinchu County Completion Year of Construction of Housing Units,,,,,,表３８ 住宅之竣工年份,表３８ 新竹縣住宅之竣工年份,表３８,新竹縣,住宅之竣工年份
,,,,,,,,,Table 38 Completion Year of Construction of Housing Units,Table 38 Hsinchu County Completion Year of Construction of Housing Units,Table 38,Hsinchu County,Completion Year of Construction of Housing Units
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                  Unit:Housing unit,,,,,,,,,,
,,總計,６９年以前,７０－７９年,８０－８９年,,９０－９９年,１００－１０９年2011-2020,,,,,
,,,,,,,,,,,,,
,,,合計,１００－１０４年,１０５－１０９年,,,,,,,,
,,Grand total,Before 1980,1981-1990,1991-2000,,2001-2010,,,,,,
,,,,,,,,,,,,,
,,,Total,2011-2015,2016-2020,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,
,新竹縣,209074,47665,25440,44558,,43610,47801,25614,22187,Hsinchu County,,
,竹北市,76852,7354,4343,12451,,25487,27217,16453,10764,Zhubei City,,
,竹東鎮,34731,9725,5311,10264,,3994,5437,2154,3283,Zhudong Township,,
,新埔鎮,11674,4664,2634,2151,,555,1670,794,876,Xinpu Township,,
,關西鎮,9426,4648,1219,1850,,1017,692,420,272,Guanxi Township,,
,湖口鄉,30787,6803,4592,7578,,5315,6499,2650,3849,Hukou Township,,
,新豐鄉,20114,4161,3018,5419,,3911,3605,2119,1486,Xinfeng Township,,
,芎林鄉,7042,2356,910,1839,,999,938,263,675,Qionglin Township,,
,橫山鄉,4070,1769,1210,376,,400,315,170,145,Hengshan Township,,
,北埔鄉,3023,1512,700,403,,195,213,148,65,Beipu Township,,
,寶山鄉,5880,1606,773,1857,,739,905,251,654,Baoshan Township,,
,峨眉鄉,1984,825,404,164,,523,68,36,32,Emei Township,,
,尖石鄉,2248,1481,166,110,,307,184,117,67,Jianshi Township,,
,五峰鄉,1243,761,160,96,,168,58,39,19,Wufeng Township,,
