,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表３９ 新竹縣住宅之樓地板面積,,Table 39 Hsinchu County Total Floor Area of Housing Units,,,,,表３９ 住宅之樓地板面積,表３９ 新竹縣住宅之樓地板面積,表３９,新竹縣,住宅之樓地板面積
,,,,,,,,Table 39 Total Floor Area of Housing Units,Table 39 Hsinchu County Total Floor Area of Housing Units,Table 39,Hsinchu County,Total Floor Area of Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,新竹縣,209074,19358,66815,,63437,53170,6294,145.5,Hsinchu County,,
,竹北市,76852,9081,27112,,23715,15201,1743,133.5,Zhubei City,,
,竹東鎮,34731,2513,12834,,10012,8734,638,142.30000000000001,Zhudong Township,,
,新埔鎮,11674,592,2995,,3483,4041,563,168.3,Xinpu Township,,
,關西鎮,9426,453,2427,,2824,3039,683,172.7,Guanxi Township,,
,湖口鄉,30787,3023,8796,,9923,8247,798,146.5,Hukou Township,,
,新豐鄉,20114,763,5000,,6991,6748,612,161.5,Xinfeng Township,,
,芎林鄉,7042,626,1678,,1898,2488,352,163.5,Qionglin Township,,
,橫山鄉,4070,332,1170,,1306,1078,184,154.4,Hengshan Township,,
,北埔鄉,3023,268,726,,865,1023,141,162.69999999999999,Beipu Township,,
,寶山鄉,5880,281,2103,,1355,1703,438,163.1,Baoshan Township,,
,峨眉鄉,1984,367,520,,455,551,91,144.5,Emei Township,,
,尖石鄉,2248,618,933,,435,226,36,104.6,Jianshi Township,,
,五峰鄉,1243,441,521,,175,91,15,92.2,Wufeng Township,,
