,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 新竹縣住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 新竹縣住宅之建築類型,表４０,新竹縣,住宅之建築類型
,Table 40 Hsinchu County Type of Building,,,,,Table 40 Type of Building,Table 40 Hsinchu County Type of Building,Table 40,Hsinchu County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,新竹縣,209074,25566,126706,34721,22081,,,,
,Hsinchu County,,,,,,,,,
,竹北市,76852,4414,32529,20149,19760,,,,
,Zhubei City,,,,,,,,,
,竹東鎮,34731,2310,23181,7366,1874,,,,
,Zhudong Township,,,,,,,,,
,新埔鎮,11674,3415,7688,443,128,,,,
,Xinpu Township,,,,,,,,,
,關西鎮,9426,2839,6113,439,35,,,,
,Guanxi Township,,,,,,,,,
,湖口鄉,30787,3873,24373,2301,240,,,,
,Hukou Township,,,,,,,,,
,新豐鄉,20114,2643,15492,1960,19,,,,
,Xinfeng Township,,,,,,,,,
,芎林鄉,7042,1285,5283,449,25,,,,
,Qionglin Township,,,,,,,,,
,橫山鄉,4070,967,3103,0,0,,,,
,Hengshan Township,,,,,,,,,
,北埔鄉,3023,818,2205,0,0,,,,
,Beipu Township,,,,,,,,,
,寶山鄉,5880,1270,3378,1232,0,,,,
,Baoshan Township,,,,,,,,,
,峨眉鄉,1984,543,1059,382,0,,,,
,Emei Township,,,,,,,,,
,尖石鄉,2248,871,1377,0,0,,,,
,Jianshi Township,,,,,,,,,
,五峰鄉,1243,318,925,0,0,,,,
,Wufeng Township,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 新竹縣住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 新竹縣住宅之建築類型,表４０,新竹縣,住宅之建築類型
,Table 40 Hsinchu County Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Hsinchu County Type of Building,Table 40,Hsinchu County,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,209074,25566,126706,34721,22081,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,19358,3505,7278,6601,1974,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,66815,8830,30752,17389,9844,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,63437,6915,41512,7139,7871,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,53170,5600,41959,3273,2338,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,6294,716,5205,319,54,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,209074,25566,126706,34721,22081,,,,
,Grand Total,,,,,,,,,
,６９年以前,47665,13893,33756,16,0,,,,
,Before 1980,,,,,,,,,
,７０－７９年,25440,5057,20159,224,0,,,,
,1981-1990,,,,,,,,,
,８０－８９年,44558,4292,24988,14144,1134,,,,
,1991-2000,,,,,,,,,
,９０－９９年,43610,1213,23816,9420,9161,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,47801,1111,23987,10917,11786,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,25614,733,14049,5128,5704,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,22187,378,9938,5789,6082,,,,
,2016-2020,,,,,,,,,
