,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,
,表４２ 新竹縣空閒住宅之樓地板面積,,Table 42 Hsinchu County Total Floor Area of Vacant Housing Units,,,,,表４２ 空閒住宅之樓地板面積,表４２ 新竹縣空閒住宅之樓地板面積,表４２,新竹縣,空閒住宅之樓地板面積
,,,,,,,,Table 42 Total Floor Area of Vacant Housing Units,Table 42 Hsinchu County Total Floor Area of Vacant Housing Units,Table 42,Hsinchu County,Total Floor Area of Vacant Housing Units
,,,,,,,,,,,,
,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,
,,總 計,未滿６０平方公尺,６０－未滿１２０平方公尺,,１２０－未滿１８０平方公尺,１８０－未滿３００平方公尺,３００平方公尺以上,平均每宅面積（平方公尺 / 宅）,,,
,,,,,,,,,,,,
,,Grand total,Under 60square meters,60-under 120square meters,,120-under 180square meters,180-under 300square meters,300 squaremetersand more,Average floor areaper housing unit(square meter/unit),,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,By Township/City/District,,
,新竹縣,42514,7347,14265,,10698,9343,861,130.1,Hsinchu County,,
,竹北市,13383,3032,4180,,3719,2307,145,117.7,Zhubei City,,
,竹東鎮,6242,1002,2334,,1414,1368,124,129.1,Zhudong Township,,
,新埔鎮,2128,260,681,,542,600,45,146.4,Xinpu Township,,
,關西鎮,2248,162,691,,571,684,140,161.9,Guanxi Township,,
,湖口鄉,7559,1288,2690,,1748,1667,166,129.1,Hukou Township,,
,新豐鄉,4556,345,1622,,1390,1145,54,140.9,Xinfeng Township,,
,芎林鄉,1170,171,364,,229,384,22,142.80000000000001,Qionglin Township,,
,橫山鄉,1129,140,387,,284,271,47,143.4,Hengshan Township,,
,北埔鄉,887,152,263,,199,234,39,143.19999999999999,Beipu Township,,
,寶山鄉,1357,100,488,,304,419,46,154.9,Baoshan Township,,
,峨眉鄉,741,268,167,,117,171,18,116.7,Emei Township,,
,尖石鄉,526,183,189,,98,49,7,98.7,Jianshi Township,,
,五峰鄉,588,244,209,,83,44,8,90.7,Wufeng Township,,
,註：空閒住宅係指該住宅無人經常居住但包括於假日或偶爾居住，或因工作、出國等原因未經常居住，以及待租、待售、已租、  已售、修繕中或因其他原因而目前(普查期間)未使用等情形。,,"Note：Vacant housing unit refers to a house not being occupied, including occupied sometimes or on holidays, usually living in elsewhere other than   this house due to work or abroad, for rent, for sale, rented, sold out, under repair, or not in use during the census period for any other reason.",,,,,,,,,
