,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 新竹縣有人經常居住住宅之使用情形,,Table 43 Hsinchu County Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 新竹縣有人經常居住住宅之使用情形,表４３,新竹縣,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Hsinchu County Housing Usage of Occupied Housing Units,Table 43,Hsinchu County,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,新竹縣,158504,152511,5993,,382,5467,144,Hsinchu County,,,,,,,
,竹北市,60049,58081,1968,,106,1843,19,Zhubei City,,,,,,,
,竹東鎮,27345,26364,981,,50,919,12,Zhudong Township,,,,,,,
,新埔鎮,9288,9125,163,,27,116,20,Xinpu Township,,,,,,,
,關西鎮,6808,6537,271,,5,257,9,Guanxi Township,,,,,,,
,湖口鄉,21986,20480,1506,,107,1378,21,Hukou Township,,,,,,,
,新豐鄉,14738,14282,456,,39,409,8,Xinfeng Township,,,,,,,
,芎林鄉,5607,5448,159,,20,129,10,Qionglin Township,,,,,,,
,橫山鄉,2850,2722,128,,15,105,8,Hengshan Township,,,,,,,
,北埔鄉,2030,1914,116,,5,106,5,Beipu Township,,,,,,,
,寶山鄉,4442,4372,70,,0,55,15,Baoshan Township,,,,,,,
,峨眉鄉,1201,1144,57,,6,43,8,Emei Township,,,,,,,
,尖石鄉,1510,1436,74,,0,71,3,Jianshi Township,,,,,,,
,五峰鄉,650,606,44,,2,36,6,Wufeng Township,,,,,,,
