,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４４ 新竹縣有人經常居住住宅之居住人數,,Table 44 Hsinchu County Number of Persons of Occupied Housing Units,,,,,,,表４４ 有人經常居住住宅之居住人數,表４４ 新竹縣有人經常居住住宅之居住人數,表４４,新竹縣,有人經常居住住宅之居住人數
,,,,,,,,,,Table 44 Number of Persons of Occupied Housing Units,Table 44 Hsinchu County Number of Persons of Occupied Housing Units,Table 44,Hsinchu County,Number of Persons of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１人,２人,３人,,４人,５人,６人以上,平均每宅居住人口數（人 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 person,2 persons,3 persons,,4 persons,5 persons,6 personsand more,Number of personsper housing unit(person/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,新竹縣,158504,31735,34368,33504,,32078,12432,14387,3.7,Hsinchu County,,,
,竹北市,60049,11861,12869,13981,,13925,3661,3752,3.6,Zhubei City,,,
,竹東鎮,27345,5881,6371,5495,,4941,2142,2515,3.7,Zhudong Township,,,
,新埔鎮,9288,1619,2032,1769,,1548,949,1371,3.5,Xinpu Township,,,
,關西鎮,6808,1531,1515,1301,,1062,570,829,3.9,Guanxi Township,,,
,湖口鄉,21986,4262,4658,4410,,4558,2087,2011,3.6,Hukou Township,,,
,新豐鄉,14738,2378,2818,3110,,3304,1422,1706,3.9,Xinfeng Township,,,
,芎林鄉,5607,1135,1169,1173,,916,498,716,3.8,Qionglin Township,,,
,橫山鄉,2850,569,669,504,,420,280,408,4,Hengshan Township,,,
,北埔鄉,2030,418,462,358,,287,244,261,3.8,Beipu Township,,,
,寶山鄉,4442,1111,990,870,,765,330,376,3.7,Baoshan Township,,,
,峨眉鄉,1201,304,300,211,,137,102,147,3.4,Emei Township,,,
,尖石鄉,1510,431,349,229,,160,111,230,3.3,Jianshi Township,,,
,五峰鄉,650,235,166,93,,55,36,65,2.9,Wufeng Township,,,
