,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 新竹縣有人經常居住住宅之房廳數,,Table 45 Hsinchu County Number of Rooms of Occupied Housing Units,,,,,,,表４５ 有人經常居住住宅之房廳數,表４５ 新竹縣有人經常居住住宅之房廳數,表４５,新竹縣,有人經常居住住宅之房廳數
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units,Table 45 Hsinchu County Number of Rooms of Occupied Housing Units,Table 45,Hsinchu County,Number of Rooms of Occupied Housing Units
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,By Township/City/District,,,
,新竹縣,158504,898,7795,14594,,37645,45834,51738,5,Hsinchu County,,,
,竹北市,60049,127,2941,5845,,13307,18640,19189,4.9000000000000004,Zhubei City,,,
,竹東鎮,27345,201,894,2925,,7225,8394,7706,4.9000000000000004,Zhudong Township,,,
,新埔鎮,9288,26,418,654,,2044,2205,3941,5.3,Xinpu Township,,,
,關西鎮,6808,38,468,668,,1640,1592,2402,5,Guanxi Township,,,
,湖口鄉,21986,347,986,1912,,5640,6168,6933,4.9000000000000004,Hukou Township,,,
,新豐鄉,14738,59,417,800,,3616,4504,5342,5.0999999999999996,Xinfeng Township,,,
,芎林鄉,5607,17,440,396,,1121,1484,2149,5.0999999999999996,Qionglin Township,,,
,橫山鄉,2850,23,188,251,,834,635,919,4.9000000000000004,Hengshan Township,,,
,北埔鄉,2030,13,132,188,,458,447,792,5.0999999999999996,Beipu Township,,,
,寶山鄉,4442,10,313,388,,847,1310,1574,5.2,Baoshan Township,,,
,峨眉鄉,1201,1,144,129,,225,216,486,5.0999999999999996,Emei Township,,,
,尖石鄉,1510,20,340,282,,433,182,253,3.9,Jianshi Township,,,
,五峰鄉,650,16,114,156,,255,57,52,3.6,Wufeng Township,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,民國109年,,,,,2020,Unit:Housing unit,,,,,,
,表４５ 新竹縣有人經常居住住宅之房廳數（續）,,Table 45 Hsinchu County Number of Rooms of Occupied Housing Units(Cont.),,,,,,,表４５ 有人經常居住住宅之房廳數（續）,表４５ 新竹縣有人經常居住住宅之房廳數（續）,表４５,新竹縣,有人經常居住住宅之房廳數（續）
,,,,,,,,,,Table 45 Number of Rooms of Occupied Housing Units(Cont.),Table 45 Hsinchu County Number of Rooms of Occupied Housing Units(Cont.),Table 45,Hsinchu County,Number of Rooms of Occupied Housing Units(Cont.)
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總 計,１間,２間,３間,,４間,５間,６間以上,平均每宅房廳數（間 / 宅）,,,,
,,,,,,,,,,,,,,
,,Grand total,1 room,2 rooms,3 rooms,,4 rooms,5 rooms,6 roomsand more,Average numberof rooms perhousing unit(room/unit),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,By Total Floor Area,,,
,總計,158504,898,7795,14594,,37645,45834,51738,5,Grand Total,,,
,未滿６０平方公尺,11443,622,3930,3628,,2958,255,50,2.9,Under 60 Square Meters,,,
,６０－未滿１２０平方公尺,50226,163,2496,6761,,17498,16443,6865,4.4000000000000004,60-Under 120 Square Meters,,,
,１２０－未滿１８０平方公尺,49586,91,803,2158,,9423,17310,19801,5.2,120-Under 180 Square Meters,,,
,１８０－未滿３００平方公尺,41993,22,563,1996,,7531,11104,20777,5.6,180-Under 300 Square Meters,,,
,３００平方公尺以上,5256,-,3,51,,235,722,4245,7.2,300 Square Meters and More,,,
