,單位：人,民國109年,2020,Unit:Person,,,,
,表１４ 桃園市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,,,表１４ １５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４ 桃園市１５歲以上民間常住人口有工作者之工作地與經常居住地概況,表１４,桃園市,１５歲以上民間常住人口有工作者之工作地與經常居住地概況
,Table 14 Taoyuan City Working and Usually Living Place of the Employed,,,#rtitle1,0,0,Taoyuan City,0
,Civilian Resident Population Aged 15 Years and Over,,,(1)總計,,,,
,(1)總計 (1)Grand total,,,(1)Grand total,,,,
,,,,,,,,
,單位：人                民國109年11月November 2020                Unit:Person,,,,,,,
,,總 計,同現住鄉鎮市區,同現住縣市不同鄉鎮市區,不同縣市或國外地區,,,
,,,,,,,,
,,,,,,,,
,,Grand total,Same township/city/district,Same county/city,Other county/city or overseas,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,按鄉鎮市區別分,,,,,,,
,By Township/City/District,,,,,,,
,桃園市,1191511,685827,319582,186102,,,
,Taoyuan City,,,,,,,
,桃園區,238753,144048,54488,40217,,,
,Taoyuan District,,,,,,,
,中壢區,230410,149224,50877,30309,,,
,Zhongli District,,,,,,,
,大溪區,49318,25951,16741,6626,,,
,Daxi District,,,,,,,
,楊梅區,88733,47908,26324,14501,,,
,Yangmei District,,,,,,,
,蘆竹區,88617,53919,19656,15042,,,
,Luzhu District,,,,,,,
,大園區,47606,29549,13956,4101,,,
,Dayuan District,,,,,,,
,龜山區,101778,53586,17860,30332,,,
,Guishan District,,,,,,,
,八德區,109518,56023,37399,16096,,,
,Bade District,,,,,,,
,龍潭區,62415,37280,15117,10018,,,
,Longtan District,,,,,,,
,平鎮區,111890,49879,47970,14041,,,
,Pingzhen District,,,,,,,
,新屋區,24622,13969,8243,2410,,,
,Xinwu District,,,,,,,
,觀音區,35128,22494,10367,2267,,,
,Guanyin District,,,,,,,
,復興區,2723,1997,584,142,,,
,Fuxing District,,,,,,,
,註：本表資料不含勞動部核准引進之產業及社福移工。,,,,,,,
,Note：This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.,,,,,,,
,,,,,,,,
,,,,,,,,
,單位：人,民國109年,2020,Unit:Person,,,,
