,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 桃園市５歲以上常住人口遷徙情形,,Table 20 Taoyuan City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形,表２０ 桃園市５歲以上常住人口遷徙情形,表２０,桃園市,５歲以上常住人口遷徙情形
,,,Aged 5 Years and Over,,Table 20 Migration Status of the Resident Population,Table 20 Taoyuan City Migration Status of the Resident Population,Table 20,Taoyuan City,Migration Status of the Resident Population
,(1)總計,,(1)Grand total,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,桃園市,2223559,1687744,231322,,119157,167330,18006,Taoyuan City
,桃園區,433095,345780,48500,,14931,21184,2700,Taoyuan District
,中壢區,432093,308293,54644,,24234,39838,5084,Zhongli District
,大溪區,95195,77202,7805,,4798,5048,342,Daxi District
,楊梅區,164610,124154,17587,,11418,10407,1044,Yangmei District
,蘆竹區,159258,120971,17962,,8567,10526,1232,Luzhu District
,大園區,86184,70352,6875,,4760,3799,398,Dayuan District
,龜山區,196478,129719,16539,,8880,37670,3670,Guishan District
,八德區,204925,154342,19027,,14326,15908,1322,Bade District
,龍潭區,124414,91231,13364,,7583,11569,667,Longtan District
,平鎮區,211708,170360,20451,,12736,7296,865,Pingzhen District
,新屋區,46188,39839,2703,,2442,860,344,Xinwu District
,觀音區,63499,50361,5648,,4100,3067,323,Guanyin District
,復興區,5912,5140,217,,382,158,15,Fuxing District
,註：1.本表資料不含勞動部核准引進之產業及社福移工。  2.本表係比較5年前居住地與現住處所之異同。,,Note：1.This table does not include foreign workers in productive industries and social welfare introduced and permitted by the Ministry of Labor.2.This table compares the difference between the living place 5 years ago and the usually living place.,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,單位：人,民國109年,,,,2020,Unit:Person,,
,表２０ 桃園市５歲以上常住人口遷徙情形（續１）,,Table 20 Taoyuan City Migration Status of the Resident Population,,表２０ ５歲以上常住人口遷徙情形（續１）,表２０ 桃園市５歲以上常住人口遷徙情形（續１）,表２０,桃園市,５歲以上常住人口遷徙情形（續１）
,,,Aged 5 Years and Over(Cont.1),,Table 20 Migration Status of the Resident Population,Table 20 Taoyuan City Migration Status of the Resident Population,Table 20,Taoyuan City,Migration Status of the Resident Population
,(2)男性,,(2)Male,,,,,,
,,,,,,,,,
,單位：人                    民國109年11月,,November 2020                    Unit:Person,,,,,,
,,總 計,同現住處所,同現住鄉鎮市區不同處所,,同現住縣市不同鄉鎮市區,不同縣市,大陸地區（含港澳）及國外地區,
,,,,,,,,,
,,,,,,,,,
,,Grand total,Same place,Same township/city/district,,Same county/city,Othercounty/city,The Chinese Mainland (including Hong Kong and Macau) and overseas,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,按經常居住地區分,,,,,,,,By Usually Living Township/City/District
,桃園市,1112476,850089,112663,,56995,84497,8232,Taoyuan City
,桃園區,211896,170607,22880,,7114,10222,1073,Taoyuan District
,中壢區,214020,152129,26820,,11763,20776,2532,Zhongli District
,大溪區,49551,40453,3921,,2327,2783,67,Daxi District
,楊梅區,83169,63288,8556,,5495,5401,429,Yangmei District
,蘆竹區,78741,60412,8739,,3942,5093,555,Luzhu District
,大園區,44050,36144,3608,,2288,1834,176,Dayuan District
