,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 桃園市普通住戶之家戶型態,,Table 33 Taoyuan City Family Household Type of Ordinary Households,,表３３ 普通住戶之家戶型態,表３３ 桃園市普通住戶之家戶型態,表３３,桃園市,普通住戶之家戶型態,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households,Table 33 Taoyuan City Family Household Type of Ordinary Households,Table 33,Taoyuan City,Family Household Type of Ordinary Households,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,,,By Township/City/District
,桃園市,763346,413197,97849,255704,59644,123602,,86529,28168,8905,176668,49879,41680,8199,Taoyuan City
,桃園區,158088,88781,20438,54978,13365,21290,,14716,4890,1684,39087,8930,7120,1810,Taoyuan District
,中壢區,152926,80688,19568,49454,11666,23189,,15916,5404,1869,39575,9474,7760,1714,Zhongli District
,大溪區,30878,15579,4050,9223,2306,6558,,4545,1454,559,6278,2463,2190,273,Daxi District
,楊梅區,56740,31601,7659,19191,4751,9405,,6727,2031,647,12039,3695,3091,604,Yangmei District
,蘆竹區,53775,31510,6660,21503,3347,8120,,5911,1673,536,10891,3254,2664,590,Luzhu District
,大園區,28088,13578,3090,8382,2106,5743,,4052,1415,276,6109,2658,2327,331,Dayuan District
,龜山區,62761,31457,7823,18784,4850,9914,,6944,2298,672,16673,4717,3692,1025,Guishan District
,八德區,69265,38985,8260,24607,6118,12039,,8586,2665,788,14054,4187,3691,496,Bade District
,龍潭區,41030,22544,6456,13257,2831,6866,,4849,1481,536,9332,2288,2007,281,Longtan District
,平鎮區,71754,40423,9146,25572,5705,12340,,8727,2776,837,14288,4703,4101,602,Pingzhen District
,新屋區,14662,6556,1841,3803,912,3701,,2532,943,226,2853,1552,1310,242,Xinwu District
,觀音區,21033,10637,2473,6599,1565,4027,,2821,987,219,4639,1730,1527,203,Guanyin District
,復興區,2346,858,385,351,122,410,,203,151,56,850,228,200,28,Fuxing District
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表３３ 桃園市普通住戶之家戶型態（續）,,Table 33 Taoyuan City Family Household Type of Ordinary Households(Cont.),,表３３ 普通住戶之家戶型態（續）,表３３ 桃園市普通住戶之家戶型態（續）,表３３,桃園市,普通住戶之家戶型態（續）,,,,,,,
,,,,,Table 33 Family Household Type of Ordinary Households(Cont.),Table 33 Taoyuan City Family Household Type of Ordinary Households(Cont.),Table 33,Taoyuan City,Family Household Type of Ordinary Households(Cont.),,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                   Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親家庭）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代家庭）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple or unmarried partner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparent withtheir unmarriedgrandchild(ren)(skip-generation),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按戶長之性別及年齡分,,,,,,,,,,,,,,,By Sex and Age of Householder
,總計,763346,413197,97849,255704,59644,123602,,86529,28168,8905,176668,49879,41680,8199,Grand Total
,未滿２５歲,10884,2031,263,1364,404,335,,126,70,139,6628,1890,1101,789,Under 25 Years
,２５－３４歲,69223,32452,8941,20332,3179,3897,,2496,1092,309,26447,6427,4879,1548,25-34 Years
,３５－４４歲,157156,101937,13515,76429,11993,13796,,11466,2303,27,33779,7644,6314,1330,35-44 Years
,４５－５４歲,180770,117633,19095,80519,18019,18880,,13868,4758,254,36515,7742,6784,958,45-54 Years
,５５－６４歲,175510,95068,24482,55851,14735,34160,,22882,8884,2394,36188,10094,9211,883,55-64 Years
,６５歲以上,169803,64076,31553,21209,11314,52534,,35691,11061,5782,37111,16082,13391,2691,65 Years and Over
,男,440617,254833,67350,168400,19083,72101,,51369,16953,3779,85881,27802,24165,3637,Male
,未滿２５歲,5773,974,119,674,181,187,,89,29,69,3556,1056,629,427,Under 25 Years
,２５－３４歲,42955,20501,5860,12893,1748,2666,,1651,780,235,15758,4030,3141,889,25-34 Years
,３５－４４歲,94293,61297,9138,47913,4246,10062,,8293,1756,13,18386,4548,3910,638,35-44 Years
,４５－５４歲,104234,68991,12043,51230,5718,12850,,9650,3124,76,17589,4804,4380,424,45-54 Years
,５５－６４歲,100311,59421,16001,38785,4635,18291,,12222,5252,817,16779,5820,5379,441,55-64 Years
,６５歲以上,93051,43649,24189,16905,2555,28045,,19464,6012,2569,13813,7544,6726,818,65 Years and Over
,女,322729,158364,30499,87304,40561,51501,,35160,11215,5126,90787,22077,17515,4562,Female
,未滿２５歲,5111,1057,144,690,223,148,,37,41,70,3072,834,472,362,Under 25 Years
,２５－３４歲,26268,11951,3081,7439,1431,1231,,845,312,74,10689,2397,1738,659,25-34 Years
,３５－４４歲,62863,40640,4377,28516,7747,3734,,3173,547,14,15393,3096,2404,692,35-44 Years
,４５－５４歲,76536,48642,7052,29289,12301,6030,,4218,1634,178,18926,2938,2404,534,45-54 Years
,５５－６４歲,75199,35647,8481,17066,10100,15869,,10660,3632,1577,19409,4274,3832,442,55-64 Years
,６５歲以上,76752,20427,7364,4304,8759,24489,,16227,5049,3213,23298,8538,6665,1873,65 Years and Over
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
