,單位：戶,民國109年,,,,2020,Unit:Household,,,,,,,,,
,表３４ 桃園市普通住戶之住宅所有權屬,,Table 34 Taoyuan City Home Ownership of Ordinary Households,,,,,,,,,表３４ 普通住戶之住宅所有權屬,表３４ 桃園市普通住戶之住宅所有權屬,表３４,桃園市,普通住戶之住宅所有權屬
,,,,,,,,,,,,Table 34 Home Ownership of Ordinary Households,Table 34 Taoyuan City Home Ownership of Ordinary Households,Table 34,Taoyuan City,Home Ownership of Ordinary Households
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,,,,,,,
,,總 計,自有,不住在一起的配偶、父母或子女所擁有,,租用,配住或其他（含借住）,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Self-owned,"Owned by spouse,parent or child(ren)not living together",,Rented,Allotted or others(including borrowed),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,By Township/City/District,,,,,,,,
,桃園市,759945,604945,42328,,81941,30731,Taoyuan City,,,,,,,,
,桃園區,157818,123915,9081,,18718,6104,Taoyuan District,,,,,,,,
,中壢區,152407,119633,8615,,18613,5546,Zhongli District,,,,,,,,
,大溪區,30790,24559,2118,,2590,1523,Daxi District,,,,,,,,
,楊梅區,56662,46673,3085,,4949,1955,Yangmei District,,,,,,,,
,蘆竹區,53670,44319,2778,,4667,1906,Luzhu District,,,,,,,,
,大園區,28050,22194,2103,,2573,1180,Dayuan District,,,,,,,,
,龜山區,61615,44482,3283,,11333,2517,Guishan District,,,,,,,,
,八德區,69073,56150,3399,,6559,2965,Bade District,,,,,,,,
,龍潭區,40395,31726,2021,,3456,3192,Longtan District,,,,,,,,
,平鎮區,71627,59860,3535,,5910,2322,Pingzhen District,,,,,,,,
,新屋區,14620,12538,883,,772,427,Xinwu District,,,,,,,,
,觀音區,20909,17030,1176,,1723,980,Guanyin District,,,,,,,,
,復興區,2309,1866,251,,78,114,Fuxing District,,,,,,,,
,註：本表僅統計居住於住宅內之普通住戶。,,Note：This table only includes ordinary households living in the housing unit.,,,,,,,,,,,,,
