,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 桃園市住宅之建築類型,,,,,表４０ 住宅之建築類型,表４０ 桃園市住宅之建築類型,表４０,桃園市,住宅之建築類型
,Table 40 Taoyuan City Type of Building,,,,,Table 40 Type of Building,Table 40 Taoyuan City Type of Building,Table 40,Taoyuan City,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,
,By Township/City/District,,,,,,,,,
,桃園市,867883,81828,447313,197176,141566,,,,
,Taoyuan City,,,,,,,,,
,桃園區,186220,9048,64808,58000,54364,,,,
,Taoyuan District,,,,,,,,,
,中壢區,170213,13354,84398,44859,27602,,,,
,Zhongli District,,,,,,,,,
,大溪區,33956,5245,23552,4267,892,,,,
,Daxi District,,,,,,,,,
,楊梅區,66772,8357,40025,14106,4284,,,,
,Yangmei District,,,,,,,,,
,蘆竹區,64142,4811,21856,19881,17594,,,,
,Luzhu District,,,,,,,,,
,大園區,31902,5683,20415,5169,635,,,,
,Dayuan District,,,,,,,,,
,龜山區,73065,5408,36162,19633,11862,,,,
,Guishan District,,,,,,,,,
,八德區,73611,5498,44327,12253,11533,,,,
,Bade District,,,,,,,,,
,龍潭區,45533,5330,32274,4509,3420,,,,
,Longtan District,,,,,,,,,
,平鎮區,79828,8268,49475,13085,9000,,,,
,Pingzhen District,,,,,,,,,
,新屋區,15808,4924,10208,370,306,,,,
,Xinwu District,,,,,,,,,
,觀音區,23675,4501,18062,1044,68,,,,
,Guanyin District,,,,,,,,,
,復興區,3158,1401,1751,0,6,,,,
,Fuxing District,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：宅,民國109年,2020,Unit:Housing unit,,,,,,
,表４０ 桃園市住宅之建築類型（續）,,,,,表４０ 住宅之建築類型,表４０ 桃園市住宅之建築類型,表４０,桃園市,住宅之建築類型
,Table 40 Taoyuan City Type of Building(Cont.),,,,,Table 40 Type of Building,Table 40 Taoyuan City Type of Building,Table 40,Taoyuan City,Type of Building
,,,,,,,,,,
,,,,,,,,,,
,單位：宅                 民國109年11月November 2020             Unit:Housing unit,,,,,,,,,
,,總 計,平房,２－５樓,６－１２樓,１３樓以上,,,,
,,,,,,,,,,
,,Grand total,Flat,2-5 floors,6-12 floors,13 floorsand over,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按樓地板面積分,,,,,,,,,
,By Total Floor Area,,,,,,,,,
,總計,867883,81828,447313,197176,141566,,,,
,Grand Total,,,,,,,,,
,未滿６０平方公尺,96096,12329,30121,29515,24131,,,,
,Under 60 Square Meters,,,,,,,,,
,６０－未滿１２０平方公尺,421304,31242,161739,133134,95189,,,,
,60-Under 120 Square Meters,,,,,,,,,
,１２０－未滿１８０平方公尺,190431,21872,131222,22692,14645,,,,
,120-Under 180 Square Meters,,,,,,,,,
,１８０－未滿３００平方公尺,145666,14479,113396,10605,7186,,,,
,180-Under 300 Square Meters,,,,,,,,,
,３００平方公尺以上,14386,1906,10835,1230,415,,,,
,300 Square Meters and More,,,,,,,,,
,按竣工年份分,,,,,,,,,
,By Completion Year of Construction,,,,,,,,,
,總計,867883,81828,447313,197176,141566,,,,
,Grand Total,,,,,,,,,
,６９年以前,170891,33992,134616,1690,593,,,,
,Before 1980,,,,,,,,,
,７０－７９年,130108,21071,97992,9364,1681,,,,
,1981-1990,,,,,,,,,
,８０－８９年,260956,19015,87684,99587,54670,,,,
,1991-2000,,,,,,,,,
,９０－９９年,164839,4055,68386,44236,48162,,,,
,2001-2010,,,,,,,,,
,１００－１０９年,141089,3695,58635,42299,36460,,,,
,2011-2020,,,,,,,,,
,１００－１０４年,71986,2816,35866,22587,10717,,,,
,2011-2015,,,,,,,,,
,１０５－１０９年,69103,879,22769,19712,25743,,,,
,2016-2020,,,,,,,,,
