,單位：宅,民國109年,,,,2020,Unit:Housing unit,,,,,,,,,
,表４３ 桃園市有人經常居住住宅之使用情形,,Table 43 Taoyuan City Housing Usage of Occupied Housing Units,,,,,,,,,表４３ 有人經常居住住宅之使用情形,表４３ 桃園市有人經常居住住宅之使用情形,表４３,桃園市,有人經常居住住宅之使用情形
,,,,,,,,,,,,Table 43 Housing Usage of Occupied Housing Units,Table 43 Taoyuan City Housing Usage of Occupied Housing Units,Table 43,Taoyuan City,Housing Usage of Occupied Housing Units
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,,,
,,總 計,住宅專用,住宅兼其他用途,,Residence and other usage,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,合計,,兼工業用,兼商業或服務業用,兼農業用,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grand total,Residence only,,,,,,,,,,,,,
,,Total,,Residence andfactory,Residence andbusiness or service,Residence andagriculture,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,By Township/City/District,,,,,,,
,桃園市,685312,655478,29834,,3424,26064,346,Taoyuan City,,,,,,,
,桃園區,147230,140494,6736,,686,6050,0,Taoyuan District,,,,,,,
,中壢區,131017,125108,5909,,523,5374,12,Zhongli District,,,,,,,
,大溪區,26952,24849,2103,,149,1882,72,Daxi District,,,,,,,
,楊梅區,52731,51338,1393,,108,1261,24,Yangmei District,,,,,,,
,蘆竹區,49967,48635,1332,,151,1160,21,Luzhu District,,,,,,,
,大園區,24792,23763,1029,,212,735,82,Dayuan District,,,,,,,
,龜山區,57653,55298,2355,,584,1771,0,Guishan District,,,,,,,
,八德區,60719,58152,2567,,531,2028,8,Bade District,,,,,,,
,龍潭區,34997,33551,1446,,102,1344,0,Longtan District,,,,,,,
,平鎮區,66054,63231,2823,,179,2623,21,Pingzhen District,,,,,,,
,新屋區,12502,11748,754,,106,607,41,Xinwu District,,,,,,,
,觀音區,18668,17421,1247,,91,1123,33,Guanyin District,,,,,,,
,復興區,2030,1890,140,,2,106,32,Fuxing District,,,,,,,
