,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 桃園市有人經常居住住宅之平均每人使用房廳數及衛浴套數,,"Table 46 Taoyuan City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６ 桃園市有人經常居住住宅之平均每人使用房廳數及衛浴套數,表４６,桃園市,有人經常居住住宅之平均每人使用房廳數及衛浴套數
,,,Occupied Housing Units,,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Taoyuan City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Taoyuan City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按鄉鎮市區別分,,,,,,,,,,,,,By Township/City/District
,桃園市,685312,65348,319198,153589,147177,1.5,,131019,278979,198548,76766,0.6,Taoyuan City
,桃園區,147230,12025,69524,33672,32009,1.6,,25905,61345,43157,16823,0.6,Taoyuan District
,中壢區,131017,11189,59335,31249,29244,1.4,,22637,52473,40643,15264,0.6,Zhongli District
,大溪區,26952,3494,11956,5883,5619,1.4,,6374,10250,7406,2922,0.6,Daxi District
,楊梅區,52731,4559,24546,11679,11947,1.5,,9535,21405,15494,6297,0.7,Yangmei District
,蘆竹區,49967,4677,24801,10843,9646,1.5,,9275,21470,13792,5430,0.6,Luzhu District
,大園區,24792,3363,11075,4871,5483,1.4,,6118,9349,6553,2772,0.6,Dayuan District
,龜山區,57653,5539,26498,12756,12860,1.5,,12535,21550,16831,6737,0.6,Guishan District
,八德區,60719,6766,29184,12776,11993,1.4,,12269,25780,16554,6116,0.6,Bade District
,龍潭區,34997,2922,16397,7818,7860,1.4,,5871,14538,10480,4108,0.6,Longtan District
,平鎮區,66054,6345,31443,14926,13340,1.4,,11644,28898,18235,7277,0.6,Pingzhen District
,新屋區,12502,1616,5612,2777,2497,1.3,,3982,4257,3415,848,0.5,Xinwu District
,觀音區,18668,2474,8161,3883,4150,1.4,,4205,7101,5355,2007,0.6,Guanyin District
,復興區,2030,379,666,456,529,1.3,,669,563,633,165,0.5,Fuxing District
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅,,民國109年,,,,,,2020,Unit:Housing unit,,,,
,表４６ 桃園市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,,"Table 46 Taoyuan City Average Number of Rooms, Baths/Toilets Per Person of",,,,,,,表４６ 有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６ 桃園市有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）,表４６,桃園市,有人經常居住住宅之平均每人使用房廳數及衛浴套數（續）
,,,Occupied Housing Units(Cont.),,,,,,,"Table 46 Average Number of Rooms, Baths/Toilets Per Person of","Table 46 Taoyuan City Average Number of Rooms, Baths/Toilets Per Person of",Table 46,Taoyuan City,"Average Number of Rooms, Baths/Toilets Per Person of"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：宅                      民國109年11月,,November 2020                    Unit:Housing unit,,,,,,,,,,,
,,總計,每人使用房廳數  Number of rooms per person,,每人使用衛浴套數  Number of baths or toilets per person,,,,,,,,,
,,未滿１間,１－未滿２間,２－未滿３間,３間以上,平均每人,,未滿０. ５套,０. ５－未滿１套,１－未滿２套,２套以上,平均每人,,
,,使用房廳數,,使用衛浴套數,,,,,,,,,,
,,Grand total,（間 / 人）,,（套 / 人）,,,,,,,,,
,,under1 room,1 - under2 rooms,2 - under3 rooms,3 roomsand more,Average number ofrooms per person(room/person),,under0.5 set,0.5 - under1 set,1 - under2 sets,2 setsand more,Average number of,,
,,,baths or toilets,,,,,,,,,,,
,,,per person,,,,,,,,,,,
,,,(set/person),,,,,,,,,,,
,,,,,,,,,,,,,,
,按樓地板面積分,,,,,,,,,,,,,By Total Floor Area
,總計,685312,65348,319198,153589,147177,1.5,,131019,278979,198548,76766,0.6,Grand Total
,未滿６０平方公尺,56563,6703,22038,14009,13813,1.2,,12609,15047,27509,1398,0.5,Under 60 Square Meters
,６０－未滿１２０平方公尺,334077,27245,158473,75360,72999,1.5,,63651,141595,86639,42192,0.6,60-Under 120 Square Meters
,１２０－未滿１８０平方公尺,158697,15426,75536,35589,32146,1.5,,29334,67369,44758,17236,0.6,120-Under 180 Square Meters
,１８０－未滿３００平方公尺,123631,13344,57181,26606,26500,1.5,,21351,50158,37054,15068,0.7,180-Under 300 Square Meters
,３００平方公尺以上,12344,2630,5970,2025,1719,1.3,,4074,4810,2588,872,0.6,300 Square Meters and More
